Czechia, Exposure to risk (period 5x10), 	Last modified: 23 May 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999    100-104            1163.22          192.11         1355.32
1990-1999    105-109              14.89            0.11           14.99
1990-1999    110+                  0.00            0.00            0.00
2000-2009        0            491022.52       518227.84      1009250.36
2000-2009      1-4           1840053.84      1945135.64      3785189.48
2000-2009      5-9           2366509.88      2499128.38      4865638.26
2000-2009     10-14          2830037.58      2977198.01      5807235.60
2000-2009     15-19          3237234.39      3398151.40      6635385.79
2000-2009     20-24          3649365.82      3834505.78      7483871.60
2000-2009     25-29          4158675.52      4363166.13      8521841.65
2000-2009     30-34          3980671.45      4179433.70      8160105.15
2000-2009     35-39          3497831.12      3666941.61      7164772.73
2000-2009     40-44          3346339.42      3466916.59      6813256.01
2000-2009     45-49          3553750.28      3592024.98      7145775.26
2000-2009     50-54          3919516.88      3840463.86      7759980.74
2000-2009     55-59          3785820.12      3558439.61      7344259.72
2000-2009     60-64          3100432.73      2738668.88      5839101.61
2000-2009     65-69          2469630.88      1986183.74      4455814.62
2000-2009     70-74          2269785.58      1596966.15      3866751.72
2000-2009     75-79          2033847.89      1196060.20      3229908.09
2000-2009     80-84          1315874.86       631882.14      1947757.00
2000-2009     85-89           575016.01       225580.69       800596.69
2000-2009     90-94           194574.63        60940.90       255515.53
2000-2009     95-99            35462.46         8736.93        44199.38
2000-2009    100-104            2543.52          467.51         3011.03
2000-2009    105-109              71.95            4.24           76.19
2000-2009    110+                  0.00            0.00            0.00
2010-2019        0            546491.42       574437.47      1120928.89
2010-2019      1-4           2227430.65      2339793.12      4567223.77
2010-2019      5-9           2671721.04      2810780.38      5482501.42
2010-2019     10-14          2363587.45      2497817.73      4861405.18
2010-2019     15-19          2414376.51      2544272.68      4958649.20
2010-2019     20-24          2941666.06      3082148.24      6023814.30
2010-2019     25-29          3396572.96      3582320.43      6978893.39
2010-2019     30-34          3783565.78      4016046.82      7799612.60
2010-2019     35-39          4240156.26      4492733.84      8732890.11
2010-2019     40-44          4024912.40      4252548.60      8277461.00
2010-2019     45-49          3516488.09      3683880.84      7200368.93
2010-2019     50-54          3328366.71      3403527.27      6731893.97
2010-2019     55-59          3471995.00      3390682.43      6862677.43
2010-2019     60-64          3743714.75      3441172.84      7184887.59
2010-2019     65-69          3501603.51      2977623.48      6479226.99
2010-2019     70-74          2729105.99      2093500.60      4822606.59
2010-2019     75-79          1980364.77      1320477.87      3300842.63
2010-2019     80-84          1495235.17       830702.55      2325937.73
2010-2019     85-89           917792.58       405086.97      1322879.54
2010-2019     90-94           313942.12       106019.44       419961.55
2010-2019     95-99            50472.44        12646.30        63118.74
2010-2019    100-104            4278.16          741.60         5019.76
2010-2019    105-109             157.70            8.51          166.21
2010-2019    110+                  0.00            0.00            0.00
