PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,1931,.,1,1,27,O,4032,.,.,.,1
NOR,1,1931,.,2,1,27,O,3869,.,.,.,1
NOR,1,1931,.,3,1,27,O,4500,.,.,.,1
NOR,1,1931,.,4,1,27,O,4146,.,.,.,1
NOR,1,1931,.,5,1,27,O,4224,.,.,.,1
NOR,1,1931,.,6,1,27,O,3834,.,.,.,1
NOR,1,1931,.,7,1,27,O,3897,.,.,.,1
NOR,1,1931,.,8,1,27,O,3743,.,.,.,1
NOR,1,1931,.,9,1,27,O,3795,.,.,.,1
NOR,1,1931,.,10,1,27,O,3371,.,.,.,1
NOR,1,1931,.,11,1,27,O,3084,.,.,.,1
NOR,1,1931,.,12,1,27,O,3488,.,.,.,1
NOR,1,1931,.,TOT,1,27,O,45989,.,.,.,1
NOR,1,1931,.,UNK,1,27,O,6,.,.,.,1
NOR,1,1932,.,1,1,27,O,3715,.,.,.,1
NOR,1,1932,.,2,1,27,O,3851,.,.,.,1
NOR,1,1932,.,3,1,27,O,4297,.,.,.,1
NOR,1,1932,.,4,1,27,O,4175,.,.,.,1
NOR,1,1932,.,5,1,27,O,4231,.,.,.,1
NOR,1,1932,.,6,1,27,O,3806,.,.,.,1
NOR,1,1932,.,7,1,27,O,3785,.,.,.,1
NOR,1,1932,.,8,1,27,O,3599,.,.,.,1
NOR,1,1932,.,9,1,27,O,3652,.,.,.,1
NOR,1,1932,.,10,1,27,O,3588,.,.,.,1
NOR,1,1932,.,11,1,27,O,3324,.,.,.,1
NOR,1,1932,.,12,1,27,O,3428,.,.,.,1
NOR,1,1932,.,TOT,1,27,O,45451,.,.,.,1
NOR,1,1932,.,UNK,1,27,O,0,.,.,.,1
NOR,1,1933,.,1,1,27,O,3592,.,.,.,1
NOR,1,1933,.,2,1,27,O,3443,.,.,.,1
NOR,1,1933,.,3,1,27,O,3842,.,.,.,1
NOR,1,1933,.,4,1,27,O,3757,.,.,.,1
NOR,1,1933,.,5,1,27,O,4014,.,.,.,1
NOR,1,1933,.,6,1,27,O,3518,.,.,.,1
NOR,1,1933,.,7,1,27,O,3540,.,.,.,1
NOR,1,1933,.,8,1,27,O,3400,.,.,.,1
NOR,1,1933,.,9,1,27,O,3533,.,.,.,1
NOR,1,1933,.,10,1,27,O,3205,.,.,.,1
NOR,1,1933,.,11,1,27,O,3077,.,.,.,1
NOR,1,1933,.,12,1,27,O,3189,.,.,.,1
NOR,1,1933,.,TOT,1,27,O,42114,.,.,.,1
NOR,1,1933,.,UNK,1,27,O,4,.,.,.,1
