PopName,Area,Year,YearReg,Month,RefCode,Births,Access,NoteCode1,NoteCode2,NoteCode3,LDB
CHL,10,1947,1947,1,32,16611,O,.,.,.,1
CHL,10,1947,1947,2,32,13929,O,.,.,.,1
CHL,10,1947,1947,3,32,15027,O,.,.,.,1
CHL,10,1947,1947,4,32,14180,O,.,.,.,1
CHL,10,1947,1947,5,32,13450,O,.,.,.,1
CHL,10,1947,1947,6,32,13252,O,.,.,.,1
CHL,10,1947,1947,7,32,15842,O,.,.,.,1
CHL,10,1947,1947,8,32,15624,O,.,.,.,1
CHL,10,1947,1947,9,32,16187,O,.,.,.,1
CHL,10,1947,1947,10,32,18653,O,.,.,.,1
CHL,10,1947,1947,11,32,17111,O,.,.,.,1
CHL,10,1947,1947,12,32,16918,O,.,.,.,1
CHL,10,1947,1947,TOT,32,186784,O,.,.,.,1
CHL,10,1948,1948,1,32,16393,O,.,.,.,1
CHL,10,1948,1948,2,32,13874,O,.,.,.,1
CHL,10,1948,1948,3,32,15486,O,.,.,.,1
CHL,10,1948,1948,4,32,13953,O,.,.,.,1
CHL,10,1948,1948,5,32,13495,O,.,.,.,1
CHL,10,1948,1948,6,32,14156,O,.,.,.,1
CHL,10,1948,1948,7,32,15115,O,.,.,.,1
CHL,10,1948,1948,8,32,17103,O,.,.,.,1
CHL,10,1948,1948,9,32,16105,O,.,.,.,1
CHL,10,1948,1948,10,32,17673,O,.,.,.,1
CHL,10,1948,1948,11,32,18513,O,.,.,.,1
CHL,10,1948,1948,12,32,17340,O,.,.,.,1
CHL,10,1948,1948,TOT,32,189236,O,.,.,.,1
CHL,10,1949,1949,1,32,16385,O,.,.,.,1
CHL,10,1949,1949,2,32,13911,O,.,.,.,1
CHL,10,1949,1949,3,32,15625,O,.,.,.,1
CHL,10,1949,1949,4,32,13572,O,.,.,.,1
CHL,10,1949,1949,5,32,13540,O,.,.,.,1
CHL,10,1949,1949,6,32,13428,O,.,.,.,1
CHL,10,1949,1949,7,32,15746,O,.,.,.,1
CHL,10,1949,1949,8,32,16543,O,.,.,.,1
CHL,10,1949,1949,9,32,16345,O,.,.,.,1
CHL,10,1949,1949,10,32,18899,O,.,.,.,1
CHL,10,1949,1949,11,32,18322,O,.,.,.,1
CHL,10,1949,1949,12,32,17403,O,.,.,.,1
CHL,10,1949,1949,TOT,32,189719,O,.,.,.,1
CHL,10,1950,1950,1,32,16444,O,.,.,.,1
CHL,10,1950,1950,2,32,14451,O,.,.,.,1
CHL,10,1950,1950,3,32,15463,O,.,.,.,1
CHL,10,1950,1950,4,32,12821,O,.,.,.,1
CHL,10,1950,1950,5,32,13656,O,.,.,.,1
CHL,10,1950,1950,6,32,13746,O,.,.,.,1
CHL,10,1950,1950,7,32,16108,O,.,.,.,1
CHL,10,1950,1950,8,32,15859,O,.,.,.,1
CHL,10,1950,1950,9,32,16759,O,.,.,.,1
CHL,10,1950,1950,10,32,18710,O,.,.,.,1
CHL,10,1950,1950,11,32,17742,O,.,.,.,1
CHL,10,1950,1950,12,32,16564,O,.,.,.,1
CHL,10,1950,1950,TOT,32,188323,O,.,.,.,1
CHL,10,1951,1951,1,32,16559,O,.,.,.,1
CHL,10,1951,1951,2,32,13889,O,.,.,.,1
CHL,10,1951,1951,3,32,14794,O,.,.,.,1
CHL,10,1951,1951,4,32,14780,O,.,.,.,1
CHL,10,1951,1951,5,32,14353,O,.,.,.,1
CHL,10,1951,1951,6,32,13508,O,.,.,.,1
CHL,10,1951,1951,7,32,16570,O,.,.,.,1
CHL,10,1951,1951,8,32,16766,O,.,.,.,1
CHL,10,1951,1951,9,32,15156,O,.,.,.,1
CHL,10,1951,1951,10,32,19776,O,.,.,.,1
CHL,10,1951,1951,11,32,18664,O,.,.,.,1
CHL,10,1951,1951,12,32,16517,O,.,.,.,1
CHL,10,1951,1951,TOT,32,191332,O,.,.,.,1
CHL,10,1952,1952,1,33,16403,O,.,.,.,1
CHL,10,1952,1952,2,33,14176,O,.,.,.,1
CHL,10,1952,1952,3,33,14838,O,.,.,.,1
CHL,10,1952,1952,4,33,14037,O,.,.,.,1
CHL,10,1952,1952,5,33,14039,O,.,.,.,1
CHL,10,1952,1952,6,33,14745,O,.,.,.,1
CHL,10,1952,1952,7,33,16123,O,.,.,.,1
CHL,10,1952,1952,8,33,17382,O,.,.,.,1
CHL,10,1952,1952,9,33,18971,O,.,.,.,1
CHL,10,1952,1952,10,33,19214,O,.,.,.,1
CHL,10,1952,1952,11,33,17826,O,.,.,.,1
CHL,10,1952,1952,12,33,17716,O,.,.,.,1
CHL,10,1952,1952,TOT,33,195470,O,.,.,.,1
