East Germany, Life expectancy at birth (period, 1x5)	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1956-1959     70.80    66.23    68.67
1960-1964     72.17    67.33    69.93
1965-1969     73.19    68.11    70.86
1970-1974     73.92    68.62    71.51
1975-1979     74.58    68.80    71.94
1980-1984     75.10    69.19    72.40
1985-1989     75.85    69.79    73.05
1990-1994     77.21    69.89    73.70
1995-1999     79.44    72.32    76.03
2000-2004     81.13    74.43    77.89
2005-2009     82.19    75.95    79.14
2010-2014     82.89    76.95    79.94
2015-2017     83.23    77.40    80.30
