New Zealand, Life expectancy at birth (period, 1x1)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1948        70.83    66.97    68.81
  1949        70.74    67.27    68.95
  1950        71.24    67.41    69.25
  1951        71.44    66.98    69.13
  1952        71.49    67.39    69.37
  1953        72.70    67.92    70.21
  1954        72.85    68.00    70.33
  1955        72.99    68.13    70.48
  1956        73.28    68.37    70.72
  1957        73.02    67.71    70.25
  1958        73.48    68.44    70.88
  1959        73.39    68.33    70.77
  1960        73.95    68.67    71.22
  1961        73.67    68.37    70.93
  1962        74.12    68.48    71.20
  1963        74.23    68.52    71.27
  1964        74.31    68.49    71.29
  1965        74.31    68.33    71.21
  1966        74.32    68.07    71.07
  1967        74.67    68.41    71.44
  1968        74.29    68.12    71.09
  1969        74.75    68.41    71.48
  1970        74.49    68.16    71.22
  1971        74.99    68.66    71.72
  1972        74.75    69.02    71.82
  1973        75.14    68.44    71.68
  1974        75.13    68.91    71.94
  1975        75.55    69.03    72.20
  1976        75.67    69.30    72.40
  1977        75.58    68.89    72.14
  1978        76.43    69.76    73.01
  1979        76.48    69.81    73.05
  1980        75.79    70.04    72.87
  1981        76.90    70.50    73.64
  1982        76.88    70.67    73.73
  1983        76.94    70.81    73.83
  1984        77.67    71.16    74.37
  1985        76.84    70.98    73.87
  1986        77.36    70.97    74.12
  1987        77.15    71.31    74.21
  1988        77.60    71.42    74.48
  1989        77.99    71.82    74.89
  1990        78.36    72.48    75.43
  1991        78.85    73.26    76.08
  1992        79.30    73.11    76.19
  1993        79.18    73.76    76.50
  1994        79.65    74.14    76.92
  1995        79.47    74.07    76.79
  1996        79.34    74.23    76.81
  1997        80.06    74.61    77.36
  1998        80.79    75.47    78.18
  1999        80.37    75.39    77.92
  2000        81.21    76.05    78.68
  2001        80.99    76.26    78.68
  2002        81.08    76.57    78.88
  2003        81.35    76.86    79.16
  2004        81.37    77.26    79.37
  2005        82.13    77.88    80.07
  2006        82.04    77.96    80.05
  2007        82.19    78.04    80.16
  2008        82.26    78.24    80.29
  2009        82.52    78.59    80.59
  2010        82.96    79.16    81.11
  2011        82.62    79.09    80.89
  2012        83.05    79.31    81.21
  2013        83.43    79.80    81.64
