New Zealand, Deaths (period 5x5), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1974     60-64             3980.00         7204.00        11184.00
1970-1974     65-69             5121.00         8807.00        13928.00
1970-1974     70-74             6679.00         9074.00        15753.00
1970-1974     75-79             8098.00         8093.00        16191.00
1970-1974     80-84             8736.00         6949.00        15685.00
1970-1974     85-89             7173.00         4808.00        11981.00
1970-1974     90-94             3443.00         1884.00         5327.00
1970-1974     95-99              825.00          399.00         1224.00
1970-1974    100-104             104.00           43.00          147.00
1970-1974    105-109              13.00            2.00           15.00
1970-1974    110+                  3.00            2.00            5.00
1975-1979        0              1541.50         2259.00         3800.50
1975-1979      1-4               398.00          521.00          919.00
1975-1979      5-9               230.00          331.00          561.00
1975-1979     10-14              208.00          342.00          550.00
1975-1979     15-19              445.00         1241.50         1686.50
1975-1979     20-24              388.00         1197.00         1585.00
1975-1979     25-29              413.00          849.50         1262.50
1975-1979     30-34              425.00          736.50         1161.50
1975-1979     35-39              568.00          895.00         1463.00
1975-1979     40-44              883.00         1242.50         2125.50
1975-1979     45-49             1381.00         2257.00         3638.00
1975-1979     50-54             2029.00         3554.00         5583.00
1975-1979     55-59             2792.00         4915.00         7707.00
1975-1979     60-64             4073.50         7171.50        11245.00
1975-1979     65-69             5450.00         9231.00        14681.00
1975-1979     70-74             7148.50        10457.00        17605.50
1975-1979     75-79             8114.00         9268.00        17382.00
1975-1979     80-84             8330.00         6551.00        14881.00
1975-1979     85-89             7074.50         4310.00        11384.50
1975-1979     90-94             3724.50         1847.50         5572.00
1975-1979     95-99             1146.00          468.00         1614.00
1975-1979    100-104             143.00           45.00          188.00
1975-1979    105-109               8.00            0.00            8.00
1975-1979    110+                  4.00            0.00            4.00
1980-1984        0              1319.00         1736.00         3055.00
1980-1984      1-4               271.00          387.00          658.00
1980-1984      5-9               161.00          248.00          409.00
1980-1984     10-14              178.00          265.00          443.00
1980-1984     15-19              427.00         1032.50         1459.50
1980-1984     20-24              469.00         1250.00         1719.00
1980-1984     25-29              357.00          861.50         1218.50
1980-1984     30-34              478.00          834.00         1312.00
1980-1984     35-39              551.00          861.50         1412.50
1980-1984     40-44              813.00         1186.50         1999.50
1980-1984     45-49             1177.00         1761.00         2938.00
1980-1984     50-54             1799.50         2932.50         4732.00
1980-1984     55-59             2746.50         4940.00         7686.50
1980-1984     60-64             3872.00         6687.50        10559.50
1980-1984     65-69             5732.50         9009.00        14741.50
1980-1984     70-74             7502.00        10706.00        18208.00
1980-1984     75-79             8689.00        10483.00        19172.00
1980-1984     80-84             9171.00         7713.50        16884.50
1980-1984     85-89             7473.50         4242.00        11715.50
1980-1984     90-94             4350.50         1874.50         6225.00
1980-1984     95-99             1407.00          486.00         1893.00
1980-1984    100-104             197.00           66.00          263.00
1980-1984    105-109              12.00            0.00           12.00
1980-1984    110+                  0.00            0.00            0.00
1985-1989        0              1255.00         1666.50         2921.50
1985-1989      1-4               244.00          345.00          589.00
1985-1989      5-9               156.00          198.00          354.00
1985-1989     10-14              162.00          273.00          435.00
1985-1989     15-19              415.00         1165.00         1580.00
1985-1989     20-24              435.50         1343.50         1779.00
1985-1989     25-29              426.00         1063.00         1489.00
1985-1989     30-34              471.00          910.00         1381.00
1985-1989     35-39              633.50          978.50         1612.00
1985-1989     40-44              812.50         1244.00         2056.50
1985-1989     45-49             1198.00         1721.00         2919.00
1985-1989     50-54             1673.50         2698.50         4372.00
1985-1989     55-59             2514.50         4360.00         6874.50
1985-1989     60-64             3924.50         6824.00        10748.50
1985-1989     65-69             5424.00         8568.00        13992.00
1985-1989     70-74             7700.00        10693.00        18393.00
1985-1989     75-79             9805.00        11527.00        21332.00
1985-1989     80-84            10591.00         9086.50        19677.50
1985-1989     85-89             8742.00         5269.50        14011.50
1985-1989     90-94             5260.00         1922.00         7182.00
1985-1989     95-99             1817.00          504.00         2321.00
1985-1989    100-104             289.00           64.00          353.00
1985-1989    105-109              27.00            2.00           29.00
1985-1989    110+                  1.00            0.00            1.00
1990-1994        0               953.00         1284.50         2237.50
1990-1994      1-4               212.00          316.00          528.00
1990-1994      5-9               126.00          157.00          283.00
1990-1994     10-14              108.00          201.00          309.00
1990-1994     15-19              352.50          876.00         1228.50
1990-1994     20-24              380.50         1260.50         1641.00
1990-1994     25-29              366.00          994.00         1360.00
1990-1994     30-34              477.00          933.50         1410.50
1990-1994     35-39              595.50         1070.00         1665.50
1990-1994     40-44              908.50         1316.00         2224.50
1990-1994     45-49             1200.00         1695.00         2895.00
1990-1994     50-54             1767.00         2481.00         4248.00
1990-1994     55-59             2283.00         3539.00         5822.00
1990-1994     60-64             3484.00         5806.50         9290.50
1990-1994     65-69             5113.00         8474.50        13587.50
1990-1994     70-74             7205.50         9954.50        17160.00
1990-1994     75-79             9275.50        11062.50        20338.00
1990-1994     80-84            11129.00         9892.00        21021.00
1990-1994     85-89             9624.00         6049.00        15673.00
1990-1994     90-94             5663.00         2401.00         8064.00
1990-1994     95-99             1997.00          548.00         2545.00
1990-1994    100-104             416.00           78.00          494.00
1990-1994    105-109              39.00            6.00           45.00
1990-1994    110+                  0.00            1.00            1.00
1995-1999        0               774.50         1019.00         1793.50
1995-1999      1-4               196.00          252.00          448.00
1995-1999      5-9                96.00          153.00          249.00
1995-1999     10-14              144.00          185.00          329.00
1995-1999     15-19              372.00          758.50         1130.50
1995-1999     20-24              327.00          971.00         1298.00
1995-1999     25-29              366.00         1004.00         1370.00
1995-1999     30-34              516.50          934.00         1450.50
1995-1999     35-39              617.00         1069.50         1686.50
1995-1999     40-44              905.00         1281.00         2186.00
1995-1999     45-49             1338.00         1842.50         3180.50
1995-1999     50-54             1799.00         2568.00         4367.00
1995-1999     55-59             2374.50         3572.00         5946.50
1995-1999     60-64             3139.00         5031.00         8170.00
1995-1999     65-69             4733.50         7650.00        12383.50
1995-1999     70-74             6868.50        10082.50        16951.00
1995-1999     75-79             9212.00        10961.50        20173.50
1995-1999     80-84            11590.00        10414.50        22004.50
1995-1999     85-89            11268.50         7332.00        18600.50
1995-1999     90-94             7285.00         3261.50        10546.50
1995-1999     95-99             2572.00          783.00         3355.00
1995-1999    100-104             530.00           79.00          609.00
1995-1999    105-109              45.00            5.00           50.00
1995-1999    110+                  1.00            0.00            1.00
2000-2004        0               693.00          859.50         1552.50
2000-2004      1-4               172.00          209.00          381.00
2000-2004      5-9               102.00          111.00          213.00
2000-2004     10-14              102.00          189.00          291.00
2000-2004     15-19              297.00          637.50          934.50
2000-2004     20-24              250.00          720.00          970.00
2000-2004     25-29              297.50          699.00          996.50
2000-2004     30-34              431.50          826.00         1257.50
2000-2004     35-39              602.50         1000.50         1603.00
2000-2004     40-44              897.00         1337.00         2234.00
2000-2004     45-49             1295.50         1775.00         3070.50
2000-2004     50-54             1860.00         2522.00         4382.00
2000-2004     55-59             2403.00         3353.50         5756.50
2000-2004     60-64             3198.00         4521.50         7719.50
2000-2004     65-69             4108.50         6241.50        10350.00
2000-2004     70-74             6089.00         9101.00        15190.00
2000-2004     75-79             8815.00        11231.00        20046.00
2000-2004     80-84            11630.50        10929.00        22559.50
2000-2004     85-89            12815.00         8418.50        21233.50
2000-2004     90-94             9075.50         4071.00        13146.50
2000-2004     95-99             3351.50          996.00         4347.50
2000-2004    100-104             592.00          113.50          705.50
2000-2004    105-109              51.00            3.00           54.00
2000-2004    110+                  1.00            0.00            1.00
2005-2009        0               653.00          879.50         1532.50
2005-2009      1-4               166.00          189.00          355.00
2005-2009      5-9                86.00          101.00          187.00
2005-2009     10-14              107.00          145.00          252.00
2005-2009     15-19              305.50          660.50          966.00
2005-2009     20-24              262.00          733.50          995.50
2005-2009     25-29              250.00          588.00          838.00
2005-2009     30-34              362.50          705.00         1067.50
2005-2009     35-39              623.50          938.00         1561.50
2005-2009     40-44              952.00         1297.00         2249.00
2005-2009     45-49             1345.50         1865.50         3211.00
2005-2009     50-54             1812.50         2503.50         4316.00
2005-2009     55-59             2556.50         3528.00         6084.50
2005-2009     60-64             3208.00         4686.50         7894.50
2005-2009     65-69             4213.00         6041.50        10254.50
2005-2009     70-74             5533.50         7667.00        13200.50
2005-2009     75-79             7998.50        10521.00        18519.50
2005-2009     80-84            11776.00        11987.00        23763.00
2005-2009     85-89            13598.50         9390.50        22989.00
2005-2009     90-94            10488.50         4780.00        15268.50
2005-2009     95-99             4172.50         1244.00         5416.50
2005-2009    100-104             771.00          158.50          929.50
2005-2009    105-109              62.00            7.00           69.00
2005-2009    110+                  1.00            0.00            1.00
2010-2013        0               488.00          641.00         1129.00
2010-2013      1-4               105.00          131.00          236.00
2010-2013      5-9                41.00           49.00           90.00
2010-2013     10-14               66.00           93.00          159.00
2010-2013     15-19              201.00          461.50          662.50
2010-2013     20-24              225.00          543.50          768.50
2010-2013     25-29              193.50          422.00          615.50
2010-2013     30-34              300.50          409.00          709.50
2010-2013     35-39              405.00          613.00         1018.00
2010-2013     40-44              720.00          968.00         1688.00
2010-2013     45-49             1111.00         1463.00         2574.00
2010-2013     50-54             1576.50         2076.50         3653.00
2010-2013     55-59             1893.00         2838.50         4731.50
2010-2013     60-64             2789.00         3809.50         6598.50
2010-2013     65-69             3565.50         4992.50         8558.00
2010-2013     70-74             4563.00         6393.00        10956.00
2010-2013     75-79             6027.00         7677.00        13704.00
2010-2013     80-84             9019.50         9967.50        18987.00
2010-2013     85-89            11766.00         9244.50        21010.50
2010-2013     90-94             9397.00         4683.50        14080.50
2010-2013     95-99             3946.00         1339.00         5285.00
2010-2013    100-104             672.00          165.00          837.00
2010-2013    105-109              61.00            9.00           70.00
2010-2013    110+                  1.00            0.00            1.00
