New Zealand, Life expectancy at birth (period, 1x10)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1948-1949     70.78    67.12    68.88
1950-1959     72.62    67.90    70.17
1960-1969     74.26    68.37    71.21
1970-1979     75.43    69.00    72.12
1980-1989     77.12    70.98    74.01
1990-1999     79.56    74.07    76.84
2000-2009     81.73    77.40    79.62
2010-2013     83.01    79.34    81.21
