Italy , Life expectancy at birth (cohort, 1x1)	Last modified: 22 May 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1872        36.73    35.56    36.13
  1873        37.11    35.96    36.53
  1874        37.24    35.65    36.43
  1875        38.29    36.89    37.58
  1876        38.98    37.62    38.29
  1877        39.13    37.62    38.37
  1878        39.44    37.97    38.70
  1879        38.94    37.39    38.16
  1880        38.16    36.23    37.20
  1881        36.78    34.57    35.67
  1882        39.88    37.44    38.67
  1883        40.78    38.21    39.51
  1884        41.70    38.89    40.32
  1885        41.89    38.58    40.27
  1886        42.09    38.48    40.32
  1887        42.62    38.74    40.72
  1888        43.58    39.08    41.36
  1889        43.74    38.69    41.24
  1890        44.24    38.58    41.42
  1891        44.58    38.34    41.47
  1892        45.37    38.16    41.75
  1893        45.98    38.14    42.01
  1894        46.42    37.91    42.09
  1895        47.01    38.16    42.50
  1896        47.94    39.46    43.62
  1897        48.35    40.90    44.56
  1898        48.73    42.58    45.63
  1899        48.84    43.87    46.35
  1900        49.57    45.07    47.32
  1901        49.97    45.79    47.89
  1902        50.35    46.11    48.23
  1903        51.66    47.26    49.47
  1904        51.77    47.28    49.53
  1905        51.85    47.35    49.60
  1906        52.65    47.86    50.24
  1907        53.03    48.07    50.54
  1908        53.01    47.88    50.42
  1909        54.57    49.43    51.98
  1910        54.54    49.35    51.94
  1911        55.83    50.02    52.93
  1912        56.93    50.93    53.93
  1913        56.80    50.72    53.77
  1914        56.01    49.76    52.88
  1915        55.28    49.15    52.20
  1916        55.72    49.18    52.43
  1917        55.76    48.55    52.10
  1918        55.56    47.40    51.42
  1919        60.27    51.25    55.66
  1920        60.26    51.47    55.79
  1921        61.66    52.44    56.97
  1922        63.13    54.03    58.53
  1923        63.52    54.66    59.01
  1924        63.79    55.17    59.39
  1925        64.31    56.45    60.32
  1926        64.94    57.62    61.24
  1927        65.74    58.59    62.12
