PopName,Area,Year,YearReg,Month,Vital,RefCode,Births,Access,NoteCode1,NoteCode2,NoteCode3,LDB
USA,02,1933,1933,1,1,17,180545,O,.,.,.,1
USA,02,1933,1933,2,1,17,165986,O,.,.,.,1
USA,02,1933,1933,3,1,17,183762,O,.,.,.,1
USA,02,1933,1933,4,1,17,171354,O,.,.,.,1
USA,02,1933,1933,5,1,17,174811,O,.,.,.,1
USA,02,1933,1933,6,1,17,169255,O,.,.,.,1
USA,02,1933,1933,7,1,17,180880,O,.,.,.,1
USA,02,1933,1933,8,1,17,181856,O,.,.,.,1
USA,02,1933,1933,9,1,17,167637,O,.,.,.,1
USA,02,1933,1933,10,1,17,167055,O,.,.,.,1
USA,02,1933,1933,11,1,17,165939,O,.,.,.,1
USA,02,1933,1933,12,1,17,172152,O,.,.,.,1
USA,02,1933,1933,TOT,1,17,2081232,O,.,.,.,1
USA,02,1934,1934,1,1,17,182698,O,.,.,.,1
USA,02,1934,1934,2,1,17,166452,O,.,.,.,1
USA,02,1934,1934,3,1,17,179065,O,.,.,.,1
USA,02,1934,1934,4,1,17,168671,O,.,.,.,1
USA,02,1934,1934,5,1,17,179021,O,.,.,.,1
USA,02,1934,1934,6,1,17,175044,O,.,.,.,1
USA,02,1934,1934,7,1,17,187768,O,.,.,.,1
USA,02,1934,1934,8,1,17,195393,O,.,.,.,1
USA,02,1934,1934,9,1,17,192412,O,.,.,.,1
USA,02,1934,1934,10,1,17,187766,O,.,.,.,1
USA,02,1934,1934,11,1,17,175481,O,.,.,.,1
USA,02,1934,1934,12,1,17,177865,O,.,.,.,1
USA,02,1934,1934,TOT,1,17,2167636,O,.,.,.,1
USA,02,1935,1935,1,1,17,186051,O,.,.,.,1
USA,02,1935,1935,2,1,17,171058,O,.,.,.,1
USA,02,1935,1935,3,1,17,185375,O,.,.,.,1
USA,02,1935,1935,4,1,17,172177,O,.,.,.,1
USA,02,1935,1935,5,1,17,174705,O,.,.,.,1
USA,02,1935,1935,6,1,17,178786,O,.,.,.,1
USA,02,1935,1935,7,1,17,191888,O,.,.,.,1
USA,02,1935,1935,8,1,17,192449,O,.,.,.,1
USA,02,1935,1935,9,1,17,185218,O,.,.,.,1
USA,02,1935,1935,10,1,17,177945,O,.,.,.,1
USA,02,1935,1935,11,1,17,167643,O,.,.,.,1
USA,02,1935,1935,12,1,17,171810,O,.,.,.,1
USA,02,1935,1935,TOT,1,17,2155105,O,.,.,.,1
USA,02,1936,1936,1,1,17,182221,O,.,.,.,1
USA,02,1936,1936,2,1,17,176711,O,.,.,.,1
USA,02,1936,1936,3,1,17,188522,O,.,.,.,1
USA,02,1936,1936,4,1,17,170489,O,.,.,.,1
USA,02,1936,1936,5,1,17,170479,O,.,.,.,1
USA,02,1936,1936,6,1,17,176341,O,.,.,.,1
USA,02,1936,1936,7,1,17,190986,O,.,.,.,1
USA,02,1936,1936,8,1,17,190494,O,.,.,.,1
USA,02,1936,1936,9,1,17,183819,O,.,.,.,1
USA,02,1936,1936,10,1,17,178672,O,.,.,.,1
USA,02,1936,1936,11,1,17,166482,O,.,.,.,1
USA,02,1936,1936,12,1,17,169574,O,.,.,.,1
USA,02,1936,1936,TOT,1,17,2144790,O,.,.,.,1
USA,02,1937,1937,1,1,21,182232,O,.,.,.,1
USA,02,1937,1937,2,1,21,170698,O,.,.,.,1
USA,02,1937,1937,3,1,21,189650,O,.,.,.,1
USA,02,1937,1937,4,1,21,175708,O,.,.,.,1
USA,02,1937,1937,5,1,21,181023,O,.,.,.,1
USA,02,1937,1937,6,1,21,177588,O,.,.,.,1
USA,02,1937,1937,7,1,21,195407,O,.,.,.,1
USA,02,1937,1937,8,1,21,201292,O,.,.,.,1
USA,02,1937,1937,9,1,21,192513,O,.,.,.,1
USA,02,1937,1937,10,1,21,183842,O,.,.,.,1
USA,02,1937,1937,11,1,21,172924,O,.,.,.,1
USA,02,1937,1937,12,1,21,180460,O,.,.,.,1
USA,02,1937,1937,TOT,1,21,2203337,O,.,.,.,1
USA,02,1938,1938,1,1,21,194557,O,.,.,.,1
USA,02,1938,1938,2,1,21,180052,O,.,.,.,1
USA,02,1938,1938,3,1,21,196177,O,.,.,.,1
USA,02,1938,1938,4,1,21,184263,O,.,.,.,1
USA,02,1938,1938,5,1,21,188010,O,.,.,.,1
USA,02,1938,1938,6,1,21,183822,O,.,.,.,1
USA,02,1938,1938,7,1,21,203183,O,.,.,.,1
USA,02,1938,1938,8,1,21,205742,O,.,.,.,1
USA,02,1938,1938,9,1,21,196692,O,.,.,.,1
USA,02,1938,1938,10,1,21,192035,O,.,.,.,1
USA,02,1938,1938,11,1,21,179917,O,.,.,.,1
USA,02,1938,1938,12,1,21,182512,O,.,.,.,1
USA,02,1938,1938,TOT,1,21,2286962,O,.,.,.,1
USA,02,1939,1939,1,1,43,192416,O,.,.,.,1
USA,02,1939,1939,2,1,43,176904,O,.,.,.,1
USA,02,1939,1939,3,1,43,196123,O,.,.,.,1
USA,02,1939,1939,4,1,43,182990,O,.,.,.,1
USA,02,1939,1939,5,1,43,182774,O,.,.,.,1
USA,02,1939,1939,6,1,43,181809,O,.,.,.,1
USA,02,1939,1939,7,1,43,200553,O,.,.,.,1
USA,02,1939,1939,8,1,43,203754,O,.,.,.,1
USA,02,1939,1939,9,1,43,197814,O,.,.,.,1
USA,02,1939,1939,10,1,43,193120,O,.,.,.,1
USA,02,1939,1939,11,1,43,177396,O,.,.,.,1
USA,02,1939,1939,12,1,43,179935,O,.,.,.,1
USA,02,1939,1939,TOT,1,43,2265588,O,.,.,.,1
USA,02,1940,1940,1,1,43,194247,O,.,.,.,1
