Finland, Exposure to risk (period 5x10), 	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1920-1929     15-19          1709278.82      1753037.44      3462316.26
1920-1929     20-24          1531354.18      1521155.07      3052509.25
1920-1929     25-29          1318801.40      1256430.62      2575232.02
1920-1929     30-34          1161798.51      1070917.56      2232716.07
1920-1929     35-39          1084833.26       992789.29      2077622.55
1920-1929     40-44           985700.06       895127.70      1880827.77
1920-1929     45-49           876307.56       790950.96      1667258.52
1920-1929     50-54           754253.24       672080.70      1426333.95
1920-1929     55-59           626183.07       529560.29      1155743.36
1920-1929     60-64           546876.01       440983.43       987859.44
1920-1929     65-69           456887.32       349791.17       806678.49
1920-1929     70-74           339278.15       244792.16       584070.31
1920-1929     75-79           215646.64       142893.31       358539.96
1920-1929     80-84            98328.97        58030.42       156359.38
1920-1929     85-89            30577.71        16040.36        46618.07
1920-1929     90-94             5584.22         2471.17         8055.38
1920-1929     95-99              613.00          174.67          787.67
1920-1929    100-104              21.33           11.83           33.17
1920-1929    105-109               0.00            0.00            0.00
1920-1929    110+                  0.00            0.00            0.00
1930-1939        0            333069.22       349301.71       682370.93
1930-1939      1-4           1288511.92      1333758.37      2622270.28
1930-1939      5-9           1679585.47      1735069.13      3414654.60
1930-1939     10-14          1674233.49      1730004.36      3404237.84
1930-1939     15-19          1627441.14      1679641.20      3307082.34
1930-1939     20-24          1667912.13      1708698.32      3376610.46
1930-1939     25-29          1606744.65      1620549.04      3227293.69
1930-1939     30-34          1429362.75      1388847.68      2818210.43
1930-1939     35-39          1241473.24      1158801.90      2400275.15
1930-1939     40-44          1093924.73       984610.90      2078535.64
1930-1939     45-49          1009011.03       896114.87      1905125.90
1930-1939     50-54           897192.94       776710.10      1673903.04
1930-1939     55-59           777454.65       646408.79      1423863.44
1930-1939     60-64           642488.57       504229.15      1146717.71
1930-1939     65-69           482933.81       363341.05       846274.86
1930-1939     70-74           372030.30       256474.94       628505.24
1930-1939     75-79           247288.67       154315.17       401603.84
1930-1939     80-84           123351.34        73176.21       196527.56
1930-1939     85-89            43184.55        24508.16        67692.71
1930-1939     90-94             9036.12         4616.42        13652.54
1930-1939     95-99              910.58          356.08         1266.66
1930-1939    100-104              33.50            4.83           38.33
1930-1939    105-109               1.83            0.00            1.83
1930-1939    110+                  0.00            0.00            0.00
1940-1949        0            415704.19       436717.92       852422.11
1940-1949      1-4           1466042.01      1528210.07      2994252.08
1940-1949      5-9           1633220.23      1687900.95      3321121.18
1940-1949     10-14          1608123.82      1654905.51      3263029.33
1940-1949     15-19          1657391.67      1699832.61      3357224.28
1940-1949     20-24          1616362.70      1551403.34      3167766.04
1940-1949     25-29          1552225.90      1406781.89      2959007.80
1940-1949     30-34          1569960.32      1437530.24      3007490.56
1940-1949     35-39          1517290.12      1397566.79      2914856.91
1940-1949     40-44          1346588.87      1218034.81      2564623.68
1940-1949     45-49          1162085.60      1018815.63      2180901.23
1940-1949     50-54          1002304.95       847346.49      1849651.43
1940-1949     55-59           889953.82       707843.66      1597797.49
1940-1949     60-64           763234.34       565642.46      1328876.81
1940-1949     65-69           614488.31       426836.82      1041325.13
1940-1949     70-74           441053.84       284865.27       725919.11
1940-1949     75-79           265231.34       157235.79       422467.13
1940-1949     80-84           130606.92        64832.44       195439.37
1940-1949     85-89            48342.06        26322.33        74664.39
1940-1949     90-94            11186.27         6686.04        17872.31
1940-1949     95-99             1119.43          514.63         1634.06
1940-1949    100-104              32.50            5.00           37.50
1940-1949    105-109               1.33            0.00            1.33
1940-1949    110+                  0.00            0.00            0.00
1950-1959        0            433264.99       452876.34       886141.32
1950-1959      1-4           1808291.58      1884563.99      3692855.57
1950-1959      5-9           2190959.76      2285732.62      4476692.38
1950-1959     10-14          1854501.16      1925296.61      3779797.77
1950-1959     15-19          1599634.58      1649614.30      3249248.89
1950-1959     20-24          1539205.55      1584694.86      3123900.41
1950-1959     25-29          1563816.67      1542260.16      3106076.84
1950-1959     30-34          1522011.92      1384670.71      2906682.63
1950-1959     35-39          1467338.59      1272053.05      2739391.64
1950-1959     40-44          1489775.78      1309637.73      2799413.50
1950-1959     45-49          1435154.56      1262480.43      2697634.98
1950-1959     50-54          1257312.48      1065014.65      2322327.13
1950-1959     55-59          1053155.55       838589.61      1891745.17
1950-1959     60-64           868809.55       636024.76      1504834.31
1950-1959     65-69           714567.19       471034.61      1185601.80
1950-1959     70-74           532868.97       315710.23       848579.21
1950-1959     75-79           338448.78       182815.78       521264.56
1950-1959     80-84           168738.62        82416.81       251155.42
1950-1959     85-89            56042.44        24141.95        80184.39
1950-1959     90-94            11898.61         4549.68        16448.30
1950-1959     95-99             1383.59          456.39         1839.97
1950-1959    100-104              74.00           11.50           85.50
1950-1959    105-109               4.50            0.00            4.50
1950-1959    110+                  0.00            0.00            0.00
1960-1969        0            377965.43       394519.47       772484.90
1960-1969      1-4           1544233.15      1604862.47      3149095.62
1960-1969      5-9           2022726.84      2102404.14      4125130.98
1960-1969     10-14          2205209.25      2294479.51      4499688.77
1960-1969     15-19          2145076.08      2235216.33      4380292.41
1960-1969     20-24          1754337.66      1828772.68      3583110.34
1960-1969     25-29          1466661.54      1532554.34      2999215.88
1960-1969     30-34          1435671.83      1476188.44      2911860.27
1960-1969     35-39          1498314.79      1464342.28      2962657.07
1960-1969     40-44          1469600.34      1314241.71      2783842.05
1960-1969     45-49          1413072.50      1190887.24      2603959.74
1960-1969     50-54          1422912.24      1194547.24      2617459.48
1960-1969     55-59          1344852.10      1097459.27      2442311.36
1960-1969     60-64          1138998.25       859751.59      1998749.84
1960-1969     65-69           893890.38       603830.91      1497721.29
1960-1969     70-74           651604.45       387335.27      1038939.73
1960-1969     75-79           424600.06       223533.36       648133.42
1960-1969     80-84           218974.03       102506.51       321480.54
1960-1969     85-89            76628.56        33403.04       110031.60
1960-1969     90-94            16492.58         6539.21        23031.79
1960-1969     95-99             1842.95          656.93         2499.88
1960-1969    100-104             120.96           26.42          147.38
1960-1969    105-109               2.83            0.00            2.83
1960-1969    110+                  1.83            0.00            1.83
1970-1979        0            304110.76       319071.55       623182.30
1970-1979      1-4           1242867.42      1300856.10      2543723.52
1970-1979      5-9           1710594.02      1782938.75      3493532.77
1970-1979     10-14          1881262.19      1956844.80      3838106.99
1970-1979     15-19          1971302.30      2056834.95      4028137.25
1970-1979     20-24          2060502.66      2169701.57      4230204.24
1970-1979     25-29          1966911.56      2082225.43      4049136.99
1970-1979     30-34          1647685.12      1723396.11      3371081.22
1970-1979     35-39          1426833.04      1466083.20      2892916.25
1970-1979     40-44          1406546.21      1417704.66      2824250.87
1970-1979     45-49          1454153.44      1378142.85      2832296.29
1970-1979     50-54          1412578.82      1200891.34      2613470.15
1970-1979     55-59          1337255.66      1039555.37      2376811.03
1970-1979     60-64          1310450.16       969779.20      2280229.36
1970-1979     65-69          1178213.10       799554.34      1977767.45
1970-1979     70-74           900629.12       532752.08      1433381.20
1970-1979     75-79           583189.11       295477.00       878666.12
1970-1979     80-84           300235.77       131360.41       431596.17
1970-1979     85-89           113415.31        43421.35       156836.66
1970-1979     90-94            26790.29         8888.15        35678.44
1970-1979     95-99             3408.17          944.10         4352.27
1970-1979    100-104             223.07           52.29          275.37
1970-1979    105-109               4.16            0.00            4.16
1970-1979    110+                  0.00            0.00            0.00
1980-1989        0            308803.25       323038.99       631842.24
1980-1989      1-4           1251950.00      1309050.72      2561000.72
1980-1989      5-9           1550247.75      1623334.11      3173581.85
1980-1989     10-14          1560532.46      1632302.55      3192835.01
1980-1989     15-19          1713249.67      1785127.92      3498377.60
1980-1989     20-24          1834116.15      1917556.94      3751673.10
1980-1989     25-29          1895657.58      1989946.31      3885603.89
1980-1989     30-34          2020762.65      2135400.51      4156163.17
1980-1989     35-39          1947987.89      2059943.92      4007931.81
1980-1989     40-44          1630984.87      1691082.11      3322066.98
1980-1989     45-49          1404396.06      1414046.19      2818442.25
1980-1989     50-54          1373192.29      1329733.44      2702925.73
1980-1989     55-59          1401006.66      1238730.44      2639737.09
1980-1989     60-64          1330733.32      1013720.63      2344453.95
1980-1989     65-69          1210155.50       797344.03      2007499.53
1980-1989     70-74          1099132.79       643395.60      1742528.40
1980-1989     75-79           857028.22       428491.82      1285520.04
1980-1989     80-84           507641.33       208303.88       715945.21
1980-1989     85-89           215331.11        73060.52       288391.63
1980-1989     90-94            58003.19        16630.81        74634.01
1980-1989     95-99             9018.26         2090.98        11109.24
1980-1989    100-104             788.86           97.59          886.46
1980-1989    105-109              37.17            0.51           37.68
1980-1989    110+                  0.85            0.00            0.85
1990-1999        0            306916.54       319392.79       626309.33
1990-1999      1-4           1248950.13      1301056.31      2550006.44
1990-1999      5-9           1575260.12      1645607.84      3220867.97
1990-1999     10-14          1588237.04      1660887.91      3249124.95
1990-1999     15-19          1568725.19      1641211.79      3209936.98
1990-1999     20-24          1568020.36      1636796.57      3204816.92
1990-1999     25-29          1715629.51      1789255.07      3504884.58
1990-1999     30-34          1849070.45      1931144.64      3780215.09
1990-1999     35-39          1915955.54      1994016.32      3909971.86
1990-1999     40-44          2028374.34      2110966.40      4139340.75
1990-1999     45-49          1935599.21      2002842.14      3938441.35
1990-1999     50-54          1603725.57      1611525.74      3215251.31
