Finland, Exposure to risk (cohort 5x10), 	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1860-1869     15-19           796573.02       799237.94      1595810.97
1860-1869     20-24           910225.06       908600.18      1818825.25
1860-1869     25-29           916413.42       906884.16      1823297.58
1860-1869     30-34           789824.50       777061.40      1566885.90
1860-1869     35-39           775460.10       754638.37      1530098.47
1860-1869     40-44           730227.32       699998.37      1430225.69
1860-1869     45-49           682568.22       638900.79      1321469.01
1860-1869     50-54           645241.51       585015.33      1230256.84
1860-1869     55-59           599009.08       509037.39      1108046.47
1860-1869     60-64           543103.23       438093.02       981196.25
1860-1869     65-69           463406.50       350387.89       813794.39
1860-1869     70-74           369421.60       254717.51       624139.11
1860-1869     75-79           250456.94       151431.46       401888.40
1860-1869     80-84           132186.63        64403.12       196589.75
1860-1869     85-89            51145.43        22054.84        73200.26
1860-1869     90-94            12220.50         4687.85        16908.35
1860-1869     95-99             1697.95          577.17         2275.12
1860-1869    100-104             125.15           36.62          161.78
1860-1869    105-109               5.64            0.00            5.64
1860-1869    110+                  0.00            0.00            0.00
1870-1879        0             67523.84        70187.70       137711.54
1870-1879      1-4            490219.20       496331.47       986550.67
1870-1879      5-9           1067670.29      1077278.43      2144948.72
1870-1879     10-14          1195047.07      1204302.92      2399349.99
1870-1879     15-19          1147642.36      1158436.01      2306078.37
1870-1879     20-24          1009612.03      1008987.45      2018599.48
1870-1879     25-29          1042518.65      1016339.32      2058857.97
1870-1879     30-34           990853.61       953150.17      1944003.78
1870-1879     35-39           938647.96       895860.94      1834508.90
1870-1879     40-44           894224.90       838056.99      1732281.89
1870-1879     45-49           849413.57       775503.25      1624916.82
1870-1879     50-54           808573.59       716059.46      1524633.06
1870-1879     55-59           756712.60       630273.77      1386986.37
1870-1879     60-64           691749.13       536167.88      1227917.02
1870-1879     65-69           593784.56       423714.53      1017499.09
1870-1879     70-74           474173.09       297739.73       771912.82
1870-1879     75-79           326152.58       179702.62       505855.20
1870-1879     80-84           182569.17        88894.06       271463.24
1870-1879     85-89            72018.95        32044.89       104063.84
1870-1879     90-94            17683.91         6961.24        24645.15
1870-1879     95-99             2571.45          842.15         3413.59
1870-1879    100-104             272.13           46.13          318.27
1870-1879    105-109              17.06            0.00           17.06
1870-1879    110+                  0.67            0.00            0.67
1880-1889        0            338252.27       349798.44       688050.71
1880-1889      1-4           1203155.31      1215727.94      2418883.25
1880-1889      5-9           1385847.60      1400803.88      2786651.48
1880-1889     10-14          1329736.77      1348237.17      2677973.94
1880-1889     15-19          1283503.11      1293632.04      2577135.15
1880-1889     20-24          1207592.14      1187961.75      2395553.89
1880-1889     25-29          1151946.94      1103799.06      2255745.99
1880-1889     30-34          1093585.43      1027594.32      2121179.75
1880-1889     35-39          1057460.99       968020.91      2025481.91
1880-1889     40-44          1020921.73       921762.46      1942684.18
1880-1889     45-49           983025.72       868701.39      1851727.11
1880-1889     50-54           929836.50       797236.03      1727072.53
1880-1889     55-59           864700.94       693500.23      1558201.18
1880-1889     60-64           789103.27       575283.46      1364386.73
1880-1889     65-69           688111.42       452154.19      1140265.61
1880-1889     70-74           561000.22       330087.17       891087.39
1880-1889     75-79           401684.13       210733.33       612417.46
1880-1889     80-84           231436.80       106402.35       337839.15
1880-1889     85-89            98432.96        38937.47       137370.44
1880-1889     90-94            30756.71         9900.11        40656.82
1880-1889     95-99             6738.89         1627.43         8366.32
1880-1889    100-104             884.35          136.22         1020.56
1880-1889    105-109              50.09            5.68           55.76
1880-1889    110+                  2.67            0.00            2.67
