Republic of Korea, Deaths (period 1x10), 	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2018       31              1560.30         2590.33         4150.63
2010-2018       32              1536.28         2874.36         4410.64
2010-2018       33              1705.31         2844.37         4549.68
2010-2018       34              1878.37         2998.39         4876.76
2010-2018       35              1861.34         3499.47         5360.81
2010-2018       36              2076.39         3691.51         5767.90
2010-2018       37              2197.42         4017.52         6214.94
2010-2018       38              2361.44         4379.58         6741.02
2010-2018       39              2515.46         5124.71         7640.17
2010-2018       40              2811.51         5610.74         8422.25
2010-2018       41              2994.57         6264.85         9259.42
2010-2018       42              3235.60         7078.96        10314.56
2010-2018       43              3551.67         7798.04        11349.71
2010-2018       44              3750.71         8745.17        12495.88
2010-2018       45              3919.74         9548.26        13468.00
2010-2018       46              4286.81        10454.39        14741.20
2010-2018       47              4494.83        11390.52        15885.35
2010-2018       48              4780.88        12444.66        17225.54
2010-2018       49              5243.98        13979.93        19223.91
2010-2018       50              5565.03        15144.99        20710.02
2010-2018       51              5845.10        16265.14        22110.24
2010-2018       52              6026.11        17654.33        23680.44
2010-2018       53              6452.21        18409.42        24861.63
2010-2018       54              6742.25        19449.56        26191.81
2010-2018       55              6826.29        20349.68        27175.97
2010-2018       56              7213.35        20854.65        28068.00
2010-2018       57              7284.38        21360.78        28645.16
2010-2018       58              7465.41        21785.80        29251.21
2010-2018       59              7338.36        21465.76        28804.12
2010-2018       60              7554.43        21623.84        29178.27
2010-2018       61              7882.48        22010.85        29893.33
2010-2018       62              8265.52        22347.91        30613.43
2010-2018       63              8565.60        22960.01        31525.61
2010-2018       64              8637.60        22597.87        31235.47
2010-2018       65              9172.72        22923.09        32095.81
2010-2018       66              9604.82        23816.08        33420.90
2010-2018       67             10991.09        25498.46        36489.55
2010-2018       68             12354.34        27845.69        40200.03
2010-2018       69             13616.53        29417.83        43034.36
2010-2018       70             15262.86        31655.23        46918.09
2010-2018       71             17024.19        33096.39        50120.58
2010-2018       72             18610.49        35184.61        53795.10
2010-2018       73             21246.02        37709.91        58955.93
2010-2018       74             24368.61        40000.15        64368.76
2010-2018       75             27207.10        42543.54        69750.64
2010-2018       76             29245.46        42804.53        72049.99
2010-2018       77             31661.94        42524.46        74186.40
2010-2018       78             34674.49        42642.46        77316.95
2010-2018       79             36731.87        41820.32        78552.19
2010-2018       80             39341.37        40581.20        79922.57
2010-2018       81             41106.69        38947.97        80054.66
2010-2018       82             43679.13        37079.72        80758.85
2010-2018       83             44797.32        34277.38        79074.70
2010-2018       84             44894.35        31216.94        76111.29
2010-2018       85             44729.33        28760.71        73490.04
2010-2018       86             43502.11        25322.27        68824.38
2010-2018       87             43029.06        23169.01        66198.07
2010-2018       88             41490.68        20458.61        61949.29
2010-2018       89             38378.08        17652.26        56030.34
2010-2018       90             34990.50        14788.87        49779.37
2010-2018       91             30375.61        12138.56        42514.17
2010-2018       92             26455.89         9641.24        36097.13
2010-2018       93             22690.23         7711.94        30402.17
2010-2018       94             18912.51         5934.73        24847.24
2010-2018       95             15089.76         4361.57        19451.33
2010-2018       96             11279.08         3091.39        14370.47
2010-2018       97              8444.56         2138.25        10582.81
2010-2018       98              6255.15         1475.17         7730.32
2010-2018       99              4544.82          956.12         5500.94
2010-2018      100              3367.88          692.11         4059.99
2010-2018      101              2228.55          441.29         2669.84
2010-2018      102              1411.01          271.49         1682.50
2010-2018      103               864.32          162.46         1026.78
2010-2018      104               515.68           94.88          610.56
2010-2018      105               295.68           53.71          349.39
2010-2018      106               163.19           29.66          192.85
2010-2018      107                87.84           16.12          103.96
2010-2018      108                46.19            8.58           54.77
2010-2018      109                23.67            2.96           26.63
2010-2018      110+               16.70            0.00           16.70
