country,date,year,week,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,hosp_patients,population,mov_avg_cases,new_cases_per_capita,normalized_cases
AUS,2020-01-26,2020,4,4.0,4.0,,0.0,0.155,,25788217.0,4.0,1.5510959908550482e-07,4.817995885765101e-06
AUS,2020-02-02,2020,5,5.0,8.0,,0.0,0.194,,25788217.0,6.0,2.3266439862825724e-07,7.226993828647652e-06
AUS,2020-02-09,2020,6,12.0,3.0,,0.0,0.465,,25788217.0,5.0,1.9388699885688104e-07,6.022494857206377e-06
AUS,2020-02-16,2020,7,15.0,0.0,,0.0,0.582,,25788217.0,3.75,1.4541524914266077e-07,4.516871142904782e-06
AUS,2020-02-23,2020,8,15.0,0.0,,0.0,0.582,,25788217.0,3.0,1.1633219931412862e-07,3.613496914323826e-06
AUS,2020-03-01,2020,9,15.0,12.0,1.0,1.0,0.582,,25788217.0,4.5,1.7449829897119292e-07,5.420245371485738e-06
AUS,2020-03-08,2020,10,30.0,49.0,1.0,2.0,1.163,,25788217.0,10.857142857142858,4.2101176894637026e-07,1.3077417404219561e-05
AUS,2020-03-15,2020,11,91.0,221.0,3.0,0.0,3.529,,25788217.0,41.857142857142854,1.6231111618590326e-06,5.041688551889909e-05
AUS,2020-03-22,2020,12,377.0,1252.0,3.0,4.0,14.619,,25788217.0,219.57142857142858,8.514409064086463e-06,0.0002644735598721772
AUS,2020-03-29,2020,13,1682.0,2435.0,7.0,9.0,65.224,,25788217.0,567.0,2.1986785670370308e-05,0.0006829509168072031
AUS,2020-04-05,2020,14,4361.0,1703.0,17.0,19.0,169.108,426.0,25788217.0,810.2857142857143,3.142077307189226e-05,0.000975988309430702
AUS,2020-04-12,2020,15,5797.0,628.0,40.0,25.0,224.793,305.0,25788217.0,900.0,3.4899659794238585e-05,0.0010840490742971478
AUS,2020-04-19,2020,16,6351.0,295.0,61.0,7.0,246.275,230.0,25788217.0,940.4285714285714,3.646737467070994e-05,0.0011327452469997023
AUS,2020-04-26,2020,17,6623.0,104.0,67.0,16.0,256.823,167.0,25788217.0,948.2857142857143,3.6772054240342184e-05,0.001142209167489598
AUS,2020-05-03,2020,18,6721.0,108.0,83.0,12.0,260.623,109.0,25788217.0,932.1428571428571,3.6146076215461394e-05,0.0011227651126649032
AUS,2020-05-10,2020,19,6847.0,126.0,96.0,2.0,265.509,66.0,25788217.0,771.2857142857143,2.9908454480808594e-05,0.0009290128495444924
AUS,2020-05-17,2020,20,6970.0,106.0,97.0,2.0,270.278,47.0,25788217.0,438.57142857142856,1.7006659614017848e-05,0.0005282588346178164
AUS,2020-05-24,2020,21,7068.0,60.0,99.0,3.0,274.079,47.0,25788217.0,203.85714285714286,7.905049924821979e-06,0.00024554571889238573
AUS,2020-05-31,2020,22,7126.0,88.0,102.0,1.0,276.328,30.0,25788217.0,126.71428571428571,4.913650513887242e-06,0.00015262722680977304
AUS,2020-06-07,2020,23,7221.0,63.0,102.0,-1.0,280.012,26.0,25788217.0,93.57142857142857,3.628456692893059e-06,0.00011270668947057647
AUS,2020-06-14,2020,24,7267.0,70.0,102.0,0.0,281.795,18.0,25788217.0,88.71428571428571,3.440109322574946e-06,0.00010685626589500456
AUS,2020-06-21,2020,25,7347.0,139.0,102.0,0.0,284.898,17.0,25788217.0,93.14285714285714,3.6118378072767552e-06,0.00011219047562567308
AUS,2020-06-28,2020,26,7492.0,290.0,102.0,2.0,290.52,19.0,25788217.0,116.57142857142857,4.520336887634712e-06,0.0001404101658137258
AUS,2020-07-05,2020,27,7834.0,819.0,104.0,2.0,303.782,14.0,25788217.0,218.42857142857142,8.470092035776317e-06,0.00026309698961910144
AUS,2020-07-12,2020,28,8755.0,1397.0,106.0,2.0,339.496,39.0,25788217.0,409.42857142857144,1.5876575392109174e-05,0.000493156293164385
AUS,2020-07-19,2020,29,10251.0,2089.0,108.0,15.0,397.507,90.0,25788217.0,695.2857142857143,2.6961372098184003e-05,0.0008374709277149554
AUS,2020-07-26,2020,30,12428.0,2866.0,126.0,38.0,481.926,182.0,25788217.0,1095.7142857142858,4.248895089235079e-05,0.001319786730136369
AUS,2020-08-02,2020,31,15303.0,3383.0,167.0,60.0,593.411,275.0,25788217.0,1569.0,6.084174024128927e-05,0.001889858886191361
AUS,2020-08-09,2020,32,18730.0,3079.0,232.0,92.0,726.301,483.0,25788217.0,1989.0,7.712824814526727e-05,0.002395748454196697
AUS,2020-08-16,2020,33,21713.0,2161.0,331.0,108.0,841.974,673.0,25788217.0,2256.285714285714,8.749289314130226e-05,0.0027176938221347862
AUS,2020-08-23,2020,34,23773.0,1357.0,438.0,96.0,921.855,682.0,25788217.0,2333.1428571428573,9.047321329515946e-05,0.00281026817165413
AUS,2020-08-30,2020,35,25053.0,831.0,525.0,135.0,971.49,644.0,25788217.0,2252.285714285714,8.733778354221675e-05,0.002712875826249021
AUS,2020-09-06,2020,36,25819.0,575.0,657.0,110.0,1001.194,450.0,25788217.0,2036.0,7.895078593452195e-05,0.0024523599058544365
AUS,2020-09-13,2020,37,26373.0,371.0,770.0,54.0,1022.676,263.0,25788217.0,1679.5714285714287,6.512941273029572e-05,0.002023042058176439
AUS,2020-09-20,2020,38,26739.0,220.0,816.0,35.0,1036.869,139.0,25788217.0,1227.7142857142858,4.760756766217245e-05,0.0014787805943666174
AUS,2020-09-27,2020,39,26942.0,132.0,854.0,24.0,1044.741,100.0,25788217.0,806.7142857142857,3.128228235842306e-05,0.0009716865273898403
AUS,2020-10-04,2020,40,27055.0,104.0,882.0,19.0,1049.123,60.0,25788217.0,512.8571428571429,1.988726645417723e-05,0.0006177359010677399
AUS,2020-10-11,2020,41,27173.0,137.0,895.0,4.0,1053.698,37.0,25788217.0,338.57142857142856,1.3128919636880228e-05,0.0004078089374736889
AUS,2020-10-18,2020,42,27310.0,114.0,899.0,7.0,1059.011,31.0,25788217.0,236.14285714285714,9.157005974583552e-06,0.00028443382854177545
AUS,2020-10-25,2020,43,27405.0,126.0,905.0,0.0,1062.695,17.0,25788217.0,172.0,6.669712760676708e-06,0.00020717382308789938
AUS,2020-11-01,2020,44,27539.0,76.0,905.0,2.0,1067.891,15.0,25788217.0,129.85714285714286,5.035522341740139e-06,0.00015641279500573134
AUS,2020-11-08,2020,45,27610.0,64.0,907.0,0.0,1070.644,15.0,25788217.0,107.57142857142857,4.171340289692326e-06,0.00012956967507075432
AUS,2020-11-15,2020,46,27669.0,84.0,907.0,0.0,1072.932,20.0,25788217.0,100.71428571428571,3.905438119831461e-06,0.00012131025355229989
AUS,2020-11-22,2020,47,27758.0,85.0,907.0,0.0,1076.383,23.0,25788217.0,98.0,3.8001851775948682e-06,0.00011804089920124499
AUS,2020-11-29,2020,48,27843.0,68.0,907.0,1.0,1079.679,25.0,25788217.0,88.14285714285714,3.4179508084198742e-06,0.0001061679807684667
AUS,2020-12-06,2020,49,27912.0,70.0,908.0,0.0,1082.355,21.0,25788217.0,81.85714285714286,3.174207152714081e-06,9.859684437655011e-05
