PopName,Year,YearInterval,Sex,Age,AgeInterval,qx,ex,SOURCE
KOR,2007,1,f,60,,0.00384,24.68354,KOSIS
KOR,2007,1,f,80,,0.04842,8.8211,KOSIS
KOR,2008,1,f,0,,0.00324,82.96179,KOSIS
KOR,2008,1,f,60,,0.00370,25.17139,KOSIS
KOR,2008,1,f,80,,0.04542,9.09106,KOSIS
KOR,2009,1,f,0,,0.00303,83.39178,KOSIS
KOR,2009,1,f,60,,0.00350,25.62039,KOSIS
KOR,2009,1,f,80,,0.04204,9.4459,KOSIS
KOR,2010,1,f,0,,0.00275,83.63489,KOSIS
KOR,2010,5,f,0,1,0.00272,84.43,UN
KOR,2010,1,f,60,,0.00336,25.7327,KOSIS
KOR,2010,5,f,60,5,0.01810,26.360001,UN
KOR,2010,5,f,80,5,0.23088,9.7399998,UN
KOR,2010,1,f,80,,0.04193,9.46783,KOSIS
KOR,2011,1,f,0,,0.00270,83.97354,KOSIS
KOR,2011,1,f,60,,0.00324,25.9942,KOSIS
KOR,2011,1,f,80,,0.03923,9.51455,KOSIS
KOR,2012,1,f,0,,0.00267,84.16956,KOSIS
KOR,2012,1,f,60,,0.00299,26.08927,KOSIS
KOR,2012,1,f,80,,0.03960,9.52085,KOSIS
KOR,2013,1,f,0,,0.00281,84.59914,KOSIS
KOR,2013,1,f,60,,0.00288,26.50586,KOSIS
KOR,2013,1,f,80,,0.03713,9.85531,KOSIS
KOR,2014,1,f,0,,0.00278,85.01812,KOSIS
KOR,2014,1,f,60,,0.00288,26.88546,KOSIS
KOR,2014,1,f,80,,0.03540,10.07349,KOSIS
KOR,2015,1,f,0,,0.00251,85.16689,KOSIS
KOR,2015,1,f,60,,0.00270,26.95027,KOSIS
KOR,2015,1,f,80,,0.03412,10.05926,KOSIS
KOR,2016,1,f,0,,0.00255,85.40852,KOSIS
KOR,2016,1,f,60,,0.00274,27.17957,KOSIS
KOR,2016,1,f,80,,0.03295,10.19108,KOSIS
KOR,2017,1,f,0,,0.00244,85.70762,KOSIS
KOR,2017,1,f,60,,0.00241,27.3837,KOSIS
KOR,2017,1,f,80,,0.03127,10.2325,KOSIS
KOR,1950,5,m,0,1,0.15064,46.040001,UN
KOR,1950,5,m,60,5,0.19141,13.41,UN
KOR,1950,5,m,80,5,0.53134,5.71,UN
KOR,1955,5,m,0,1,0.12431,49.040001,UN
KOR,1955,5,m,60,5,0.19113,13.19,UN
KOR,1955,5,m,80,5,0.57031,5.1500001,UN
KOR,1960,5,m,0,1,0.09685,52.27,UN
KOR,1960,5,m,60,5,0.19085,13.01,UN
KOR,1960,5,m,80,5,0.60650,4.7199998,UN
KOR,1965,5,m,0,1,0.06801,55.779999,UN
KOR,1965,5,m,60,5,0.19057,12.85,UN
KOR,1965,5,m,80,5,0.64008,4.3699999,UN
KOR,1970,5,m,0,1,0.03913,59.529999,UN
KOR,1970,5,m,60,5,0.18977,12.89,UN
KOR,1970,5,m,80,5,0.61851,4.6799998,UN
KOR,1975,5,m,0,1,0.03395,61.02,UN
KOR,1975,5,m,60,5,0.17798,13.19,UN
KOR,1975,5,m,80,5,0.61261,4.7399998,UN
KOR,1980,5,m,0,1,0.02539,63.169998,UN
KOR,1980,5,m,60,5,0.16073,13.84,UN
KOR,1980,5,m,80,5,0.57575,5.1399999,UN
KOR,1985,5,m,0,1,0.01624,66.120003,UN
KOR,1985,5,m,60,5,0.13317,15.07,UN
KOR,1985,5,m,80,5,0.54860,5.4000001,UN
KOR,1990,5,m,0,1,0.01089,68.599998,UN
KOR,1990,5,m,60,5,0.11545,16.23,UN
KOR,1990,5,m,80,5,0.50303,5.8600001,UN
KOR,1995,5,m,0,1,0.00712,70.980003,UN
KOR,1995,5,m,60,5,0.09894,17.26,UN
KOR,1995,5,m,80,5,0.47122,6.2399998,UN
KOR,2000,5,m,0,1,0.00529,73.580002,UN
KOR,2000,5,m,60,5,0.08056,18.52,UN
KOR,2000,5,m,80,5,0.43876,6.5799999,UN
KOR,2003,1,m,0,,0.00564,73.78657,KOSIS
KOR,2003,1,m,60,,0.01335,18.7139,KOSIS
KOR,2003,1,m,80,,0.08921,6.64964,KOSIS
KOR,2004,1,m,0,,0.00494,74.29789,KOSIS
KOR,2004,1,m,60,,0.01254,18.94715,KOSIS
KOR,2004,1,m,80,,0.08661,6.7662,KOSIS
KOR,2005,1,m,0,,0.00426,74.8857,KOSIS
KOR,2005,5,m,0,1,0.00372,76.010002,UN
KOR,2005,1,m,60,,0.01152,19.2687,KOSIS
KOR,2005,5,m,60,5,0.06054,20.08,UN
KOR,2005,1,m,80,,0.08450,6.85381,KOSIS
KOR,2005,5,m,80,5,0.39818,7.0999999,UN
KOR,2006,1,m,0,,0.00414,75.43914,KOSIS
KOR,2006,1,m,60,,0.01068,19.60304,KOSIS
KOR,2006,1,m,80,,0.08228,6.91817,KOSIS
KOR,2007,1,m,0,,0.00373,75.86124,KOSIS
KOR,2007,1,m,60,,0.01036,19.92549,KOSIS
KOR,2007,1,m,80,,0.08045,7.02221,KOSIS
KOR,2008,1,m,0,,0.00347,76.24613,KOSIS
KOR,2008,1,m,60,,0.01007,20.22528,KOSIS
KOR,2008,1,m,80,,0.07924,7.11353,KOSIS
KOR,2009,1,m,0,,0.00327,76.68494,KOSIS
KOR,2009,1,m,60,,0.00975,20.65861,KOSIS
KOR,2009,1,m,80,,0.07418,7.37667,KOSIS
KOR,2010,1,m,0,,0.00369,76.84104,KOSIS
KOR,2010,5,m,0,1,0.00322,77.870003,UN
KOR,2010,1,m,60,,0.00986,20.76981,KOSIS
KOR,2010,5,m,60,5,0.05013,21.459999,UN
KOR,2010,5,m,80,5,0.35935,7.6100001,UN
KOR,2010,1,m,80,,0.07376,7.37673,KOSIS
KOR,2011,1,m,0,,0.00338,77.26239,KOSIS
KOR,2011,1,m,60,,0.00930,21.03524,KOSIS
KOR,2011,1,m,80,,0.07009,7.39211,KOSIS
KOR,2012,1,m,0,,0.00314,77.56754,KOSIS
KOR,2012,1,m,60,,0.00896,21.17751,KOSIS
KOR,2012,1,m,80,,0.07114,7.43461,KOSIS
KOR,2013,1,m,0,,0.00306,78.12423,KOSIS
KOR,2013,1,m,60,,0.00864,21.64673,KOSIS
KOR,2013,1,m,80,,0.06698,7.71896,KOSIS
KOR,2014,1,m,0,,0.00320,78.57844,KOSIS
KOR,2014,1,m,60,,0.00817,21.98322,KOSIS
KOR,2014,1,m,80,,0.06461,7.84436,KOSIS
KOR,2015,1,m,0,,0.00292,78.96096,KOSIS
KOR,2015,1,m,60,,0.00784,22.21296,KOSIS
KOR,2015,1,m,80,,0.06321,7.97405,KOSIS
KOR,2016,1,m,0,,0.00305,79.30488,KOSIS
KOR,2016,1,m,60,,0.00766,22.4802,KOSIS
KOR,2016,1,m,80,,0.06145,8.066,KOSIS
KOR,2017,1,m,0,,0.00302,79.66993,KOSIS
KOR,2017,1,m,60,,0.00722,22.7565,KOSIS
KOR,2017,1,m,80,,0.05893,8.10213,KOSIS
