Ireland, Life expectancy at birth (period, 1x1)	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1950        66.73    64.50    65.57
  1951        66.11    63.51    64.75
  1952        68.69    65.77    67.16
  1953        69.22    66.69    67.91
  1954        69.70    66.46    68.00
  1955        69.65    66.48    68.00
  1956        70.72    67.34    68.96
  1957        70.64    67.49    69.00
  1958        71.13    67.57    69.27
  1959        71.42    67.60    69.42
  1960        71.99    68.48    70.17
  1961        71.60    67.85    69.64
  1962        72.11    67.97    69.95
  1963        72.26    68.29    70.19
  1964        72.59    68.49    70.45
  1965        72.94    68.55    70.64
  1966        72.44    68.10    70.15
  1967        73.52    69.08    71.20
  1968        73.27    68.72    70.88
  1969        73.08    68.72    70.80
  1970        73.33    68.58    70.83
  1971        74.18    69.29    71.62
  1972        73.57    68.59    70.96
  1973        73.88    68.72    71.17
  1974        73.84    68.64    71.11
  1975        74.46    69.17    71.69
  1976        74.47    69.36    71.80
  1977        74.63    69.49    71.94
  1978        74.77    69.35    71.93
  1979        75.29    69.39    72.18
  1980        75.39    69.93    72.54
  1981        75.88    70.16    72.89
  1982        76.09    70.47    73.16
  1983        76.22    70.40    73.18
  1984        76.55    70.91    73.62
  1985        76.63    70.76    73.56
  1986        76.62    70.85    73.61
  1987        77.36    71.65    74.41
  1988        77.32    71.70    74.43
  1989        77.30    71.74    74.45
  1990        77.72    72.11    74.84
  1991        77.90    72.29    75.03
  1992        78.29    72.68    75.43
  1993        78.16    72.56    75.29
  1994        78.66    73.05    75.80
  1995        78.31    72.76    75.48
  1996        78.70    73.06    75.83
  1997        78.67    73.36    75.98
  1998        79.08    73.40    76.19
  1999        78.85    73.43    76.09
  2000        79.19    73.94    76.54
  2001        79.77    74.49    77.11
  2002        80.27    74.95    77.60
  2003        80.57    75.64    78.11
  2004        80.99    76.01    78.51
  2005        81.18    76.60    78.92
  2006        81.52    76.77    79.15
  2007        81.84    77.24    79.56
  2008        82.04    77.47    79.76
  2009        82.40    77.66    80.04
  2010        82.75    78.26    80.53
  2011        82.78    78.44    80.63
  2012        82.87    78.60    80.75
  2013        82.99    78.92    80.97
  2014        83.32    79.25    81.31
  2015        83.30    79.52    81.42
  2016        83.43    79.65    81.55
  2017        83.73    80.10    81.92
