The United States of America, Life expectancy at birth (period, 1x10)	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1933-1939     63.42    59.34    61.26
1940-1949     68.19    63.10    65.53
1950-1959     72.35    66.19    69.13
1960-1969     73.87    66.76    70.19
1970-1979     76.12    68.45    72.24
1980-1989     78.14    70.97    74.59
1990-1999     79.15    72.78    76.02
2000-2009     80.11    75.00    77.61
2010-2019     81.38    76.47    78.95
