Scotland, Exposure to risk (period 5x10), 	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1900-1909      5-9           2490187.21      2530486.88      5020674.10
1900-1909     10-14          2351345.84      2398441.64      4749787.48
1900-1909     15-19          2247349.38      2237747.97      4485097.35
1900-1909     20-24          2165658.84      2063006.53      4228665.37
1900-1909     25-29          2013555.28      1867524.04      3881079.31
1900-1909     30-34          1766469.09      1634677.42      3401146.51
1900-1909     35-39          1523438.50      1407234.97      2930673.47
1900-1909     40-44          1330800.02      1229970.35      2560770.37
1900-1909     45-49          1151672.13      1064697.76      2216369.89
1900-1909     50-54           972202.40       886427.73      1858630.13
1900-1909     55-59           810932.83       709210.62      1520143.44
1900-1909     60-64           694254.32       565696.71      1259951.02
1900-1909     65-69           559613.43       416642.29       976255.72
1900-1909     70-74           392564.51       270787.48       663351.99
1900-1909     75-79           238980.18       153055.39       392035.57
1900-1909     80-84           123491.01        70641.16       194132.17
1900-1909     85-89            46473.93        23123.14        69597.07
1900-1909     90-94            11780.54         4708.26        16488.80
1900-1909     95-99             2203.42          743.52         2946.94
1900-1909    100-104             228.90           63.32          292.22
1900-1909    105-109               1.15            0.00            1.15
1900-1909    110+                  0.00            0.00            0.00
1910-1919        0            519173.07       534602.90      1053775.97
1910-1919      1-4           2000401.27      2028709.89      4029111.16
1910-1919      5-9           2506024.53      2529382.27      5035406.80
1910-1919     10-14          2445900.37      2436362.18      4882262.55
1910-1919     15-19          2305076.81      2252551.77      4557628.57
1910-1919     20-24          2142656.19      1986833.26      4129489.45
1910-1919     25-29          1986379.23      1765353.42      3751732.65
1910-1919     30-34          1851886.96      1650392.89      3502279.85
1910-1919     35-39          1703604.63      1560930.67      3264535.30
1910-1919     40-44          1518874.84      1431885.26      2950760.10
1910-1919     45-49          1318393.83      1241554.65      2559948.49
1910-1919     50-54          1126799.36      1043958.05      2170757.41
1910-1919     55-59           940886.48       858937.90      1799824.38
1910-1919     60-64           760796.23       666789.95      1427586.18
1910-1919     65-69           604610.59       478788.22      1083398.81
1910-1919     70-74           463380.02       321351.34       784731.36
1910-1919     75-79           283921.63       175724.25       459645.88
1910-1919     80-84           139592.81        77193.26       216786.06
1910-1919     85-89            51979.94        25322.37        77302.32
1910-1919     90-94            13464.74         5526.48        18991.21
