Belgium, Exposure to risk (period 5x10), 	Last modified: 25 Sep 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1890-1899        0            818948.47       840880.31      1659828.78
1890-1899      1-4           2821298.48      2836301.38      5657599.86
1890-1899      5-9           3285825.18      3305553.74      6591378.91
1890-1899     10-14          3190676.61      3217784.03      6408460.64
1890-1899     15-19          3069803.49      3112147.45      6181950.94
1890-1899     20-24          2806615.05      2880622.37      5687237.42
1890-1899     25-29          2471836.20      2513806.73      4985642.93
1890-1899     30-34          2192034.53      2193150.85      4385185.38
1890-1899     35-39          1907591.07      1898652.14      3806243.21
1890-1899     40-44          1679164.04      1660410.02      3339574.06
1890-1899     45-49          1538738.32      1505039.18      3043777.50
1890-1899     50-54          1425354.02      1380716.22      2806070.24
1890-1899     55-59          1254423.78      1201611.04      2456034.82
1890-1899     60-64          1042258.68       979416.19      2021674.87
1890-1899     65-69           853727.39       777195.50      1630922.89
1890-1899     70-74           628482.41       550093.13      1178575.54
1890-1899     75-79           380681.15       314420.91       695102.05
1890-1899     80-84           188681.97       142252.28       330934.25
1890-1899     85-89            64843.83        44668.12       109511.95
1890-1899     90-94            13304.83         8231.38        21536.21
1890-1899     95-99             1408.03          707.25         2115.28
1890-1899    100-104              29.80           14.92           44.72
1890-1899    105-109               0.00            0.00            0.00
1890-1899    110+                  0.00            0.00            0.00
1900-1909        0            856092.25       880642.76      1736735.01
1900-1909      1-4           3096816.74      3124653.14      6221469.88
1900-1909      5-9           3662008.09      3686538.52      7348546.61
1900-1909     10-14          3405762.71      3425326.00      6831088.71
1900-1909     15-19          3227097.45      3250934.32      6478031.77
1900-1909     20-24          3076718.60      3103861.77      6180580.37
1900-1909     25-29          2883196.06      2906038.63      5789234.69
1900-1909     30-34          2597846.27      2614773.92      5212620.19
1900-1909     35-39          2283974.38      2288023.98      4571998.36
1900-1909     40-44          2023511.69      2006893.24      4030404.93
1900-1909     45-49          1752880.03      1711158.49      3464038.52
1900-1909     50-54          1523743.09      1451843.03      2975586.11
1900-1909     55-59          1354181.66      1260280.71      2614462.38
1900-1909     60-64          1187912.42      1084327.89      2272240.30
1900-1909     65-69           956817.64       852072.68      1808890.32
1900-1909     70-74           680147.37       582406.26      1262553.63
1900-1909     75-79           429889.38       347770.76       777660.14
1900-1909     80-84           212835.94       160205.79       373041.73
1900-1909     85-89            70835.37        46845.55       117680.92
1900-1909     90-94            14593.08         8230.74        22823.81
1900-1909     95-99             1636.75          762.78         2399.52
1900-1909    100-104              79.66            7.89           87.55
1900-1909    105-109               0.00            0.00            0.00
1900-1909    110+                  0.00            0.00            0.00
1910-1919        0            360506.36       370690.28       731196.63
1910-1919      1-4           1368276.31      1380579.44      2748855.75
1910-1919      5-9           1842920.00      1853453.26      3696373.26
1910-1919     10-14          1850009.67      1859957.47      3709967.14
1910-1919     15-19          1757597.54      1766937.75      3524535.29
1910-1919     20-24          1613944.79      1614516.57      3228461.36
1910-1919     25-29          1512229.53      1506234.13      3018463.66
1910-1919     30-34          1415029.04      1410399.54      2825428.57
1910-1919     35-39          1321963.30      1322820.86      2644784.16
1910-1919     40-44          1164759.07      1160201.93      2324961.00
1910-1919     45-49          1031737.03      1013704.56      2045441.58
1910-1919     50-54           898996.06       862798.02      1761794.08
1910-1919     55-59           746900.43       693089.16      1439989.59
1910-1919     60-64           629815.20       561053.38      1190868.58
1910-1919     65-69           519446.14       447111.64       966557.78
1910-1919     70-74           381762.47       317545.22       699307.69
1910-1919     75-79           233544.17       183264.94       416809.11
1910-1919     80-84           108325.70        78328.62       186654.32
1910-1919     85-89            35954.50        23421.78        59376.28
1910-1919     90-94             7295.77         4091.23        11387.00
1910-1919     95-99              823.28          391.24         1214.52
1910-1919    100-104              29.40            9.65           39.06
1910-1919    105-109               0.00            0.00            0.00
1910-1919    110+                  0.00            0.00            0.00
1920-1929        0            710301.94       734554.11      1444856.05
1920-1929      1-4           2470525.36      2519348.38      4989873.74
1920-1929      5-9           2858761.87      2899728.44      5758490.31
1920-1929     10-14          3132340.59      3159019.69      6291360.27
1920-1929     15-19          3511470.69      3553114.50      7064585.18
1920-1929     20-24          3540681.59      3582547.83      7123229.42
1920-1929     25-29          3334936.71      3286484.59      6621421.30
1920-1929     30-34          3021456.65      2899631.96      5921088.61
1920-1929     35-39          2787864.52      2698399.48      5486264.00
1920-1929     40-44          2632804.84      2585051.96      5217856.80
1920-1929     45-49          2463176.19      2418261.28      4881437.47
1920-1929     50-54          2193564.74      2135829.58      4329394.32
1920-1929     55-59          1868418.34      1782185.87      3650604.21
1920-1929     60-64          1557560.70      1428184.53      2985745.23
1920-1929     65-69          1200379.10      1041973.99      2242353.09
1920-1929     70-74           847806.67       687527.74      1535334.41
1920-1929     75-79           526643.33       397022.42       923665.75
1920-1929     80-84           269026.26       185775.90       454802.16
1920-1929     85-89            89575.84        55393.08       144968.92
1920-1929     90-94            17657.08         9166.76        26823.84
1920-1929     95-99             1804.83          839.24         2644.08
1920-1929    100-104              89.54           17.86          107.40
1920-1929    105-109               0.00            0.00            0.00
1920-1929    110+                  0.00            0.00            0.00
1930-1939        0            639183.29       660549.14      1299732.43
1930-1939      1-4           2517481.43      2562329.87      5079811.30
1930-1939      5-9           3303129.87      3358750.46      6661880.33
1930-1939     10-14          3127971.49      3208883.06      6336854.55
1930-1939     15-19          2863984.12      2931806.98      5795791.10
1930-1939     20-24          3103686.22      3172461.37      6276147.58
1930-1939     25-29          3424189.15      3522232.95      6946422.10
1930-1939     30-34          3429810.78      3498039.18      6927849.96
1930-1939     35-39          3231769.00      3182272.36      6414041.36
1930-1939     40-44          2915455.09      2782700.26      5698155.35
1930-1939     45-49          2667623.61      2551603.79      5219227.40
1930-1939     50-54          2481600.47      2388306.75      4869907.22
1930-1939     55-59          2257971.56      2154211.87      4412183.42
1930-1939     60-64          1916448.01      1794004.00      3710452.01
1930-1939     65-69          1508154.65      1360176.40      2868331.06
1930-1939     70-74          1090113.58       925802.36      2015915.95
1930-1939     75-79           661162.67       513463.77      1174626.44
1930-1939     80-84           325389.52       224356.95       549746.48
1930-1939     85-89           115022.42        67113.36       182135.78
1930-1939     90-94            25523.99        12342.70        37866.69
1930-1939     95-99             3089.56         1130.24         4219.80
1930-1939    100-104             130.53           62.51          193.04
1930-1939    105-109               0.00            0.64            0.64
1930-1939    110+                  0.00            0.00            0.00
1940-1949        0            601962.58       630105.78      1232068.36
1940-1949      1-4           2255046.40      2327651.17      4582697.58
1940-1949      5-9           2821152.86      2881643.21      5702796.07
1940-1949     10-14          3082397.73      3137217.21      6219614.94
1940-1949     15-19          3273865.60      3371478.71      6645344.31
1940-1949     20-24          3087710.37      3213712.50      6301422.87
1940-1949     25-29          2789868.91      2871040.88      5660909.79
1940-1949     30-34          2996146.30      3051016.14      6047162.44
1940-1949     35-39          3298507.06      3339013.44      6637520.50
1940-1949     40-44          3290613.86      3271553.40      6562167.26
1940-1949     45-49          3073549.44      2930519.27      6004068.71
1940-1949     50-54          2728585.37      2503558.67      5232144.04
1940-1949     55-59          2435017.74      2213133.62      4648151.36
1940-1949     60-64          2171171.05      1960138.14      4131309.19
1940-1949     65-69          1835028.15      1618125.37      3453153.52
1940-1949     70-74          1367415.05      1158570.33      2525985.38
1940-1949     75-79           857957.05       673987.77      1531944.82
1940-1949     80-84           427758.94       299389.37       727148.31
1940-1949     85-89           144750.46        83337.27       228087.73
1940-1949     90-94            29845.48        13508.93        43354.42
1940-1949     95-99             3436.43         1198.18         4634.61
1940-1949    100-104             163.17           53.62          216.79
1940-1949    105-109               0.00            0.44            0.44
1940-1949    110+                  0.00            0.00            0.00
1950-1959        0            706463.72       742083.36      1448547.08
1950-1959      1-4           2758890.77      2880164.39      5639055.16
1950-1959      5-9           3213989.19      3341799.00      6555788.18
1950-1959     10-14          2863880.27      2946826.32      5810706.59
1950-1959     15-19          2842808.56      2885641.90      5728450.46
1950-1959     20-24          3105006.59      3141246.59      6246253.18
1950-1959     25-29          3281331.66      3348597.63      6629929.29
1950-1959     30-34          3072124.07      3131348.43      6203472.51
1950-1959     35-39          2752542.19      2774492.10      5527034.29
1950-1959     40-44          2933677.48      2922079.56      5855757.04
1950-1959     45-49          3198708.13      3139877.64      6338585.77
