Northern Ireland, Exposure to risk (period 5x5), 	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1945-1949     75-79            66106.74        56454.56       122561.29
1945-1949     80-84            33146.96        24689.44        57836.40
1945-1949     85-89            12244.11         7677.35        19921.46
1945-1949     90-94             3420.30         1752.32         5172.61
1945-1949     95-99              586.35          298.80          885.15
1945-1949    100-104              51.00           15.31           66.31
1945-1949    105-109               0.00            0.00            0.00
1945-1949    110+                  0.00            0.00            0.00
1950-1954        0             67240.11        71459.35       138699.46
1950-1954      1-4            265333.04       279358.96       544692.00
1950-1954      5-9            322748.48       336663.97       659412.45
1950-1954     10-14           279395.96       289085.87       568481.83
1950-1954     15-19           262282.35       269154.05       531436.40
1950-1954     20-24           256348.79       247855.20       504203.98
1950-1954     25-29           254347.00       235588.40       489935.39
1950-1954     30-34           241513.43       229818.18       471331.61
1950-1954     35-39           233216.74       219905.84       453122.58
1950-1954     40-44           233590.97       218824.87       452415.84
1950-1954     45-49           213891.41       197916.98       411808.39
1950-1954     50-54           200418.11       180947.46       381365.57
1950-1954     55-59           173610.97       149871.22       323482.19
1950-1954     60-64           151490.55       124455.70       275946.25
1950-1954     65-69           129996.71       107236.78       237233.49
1950-1954     70-74           108526.98        88485.07       197012.05
1950-1954     75-79            76381.65        62661.27       139042.92
1950-1954     80-84            40135.71        30444.39        70580.09
1950-1954     85-89            14564.24         9604.41        24168.65
1950-1954     90-94             3898.13         1984.01         5882.14
1950-1954     95-99              664.93          294.12          959.05
1950-1954    100-104              61.43           11.92           73.34
1950-1954    105-109               2.97            0.00            2.97
1950-1954    110+                  0.00            0.00            0.00
1955-1959        0             70582.75        74988.72       145571.47
1955-1959      1-4            267676.70       283561.50       551238.20
1955-1959      5-9            324776.72       342020.38       666797.09
1955-1959     10-14           315273.86       325152.59       640426.45
1955-1959     15-19           263359.36       266732.44       530091.79
1955-1959     20-24           239877.94       239125.26       479003.20
1955-1959     25-29           237089.78       223768.05       460857.83
1955-1959     30-34           240892.76       223932.40       464825.16
1955-1959     35-39           232605.65       221882.84       454488.49
1955-1959     40-44           225097.95       212035.13       437133.07
1955-1959     45-49           224578.58       210515.96       435094.54
1955-1959     50-54           204899.23       188568.84       393468.06
1955-1959     55-59           191274.08       167131.89       358405.98
1955-1959     60-64           165305.75       136744.00       302049.74
1955-1959     65-69           137330.88       108082.39       245413.27
1955-1959     70-74           108651.10        84367.64       193018.74
1955-1959     75-79            78256.41        59251.07       137507.48
1955-1959     80-84            45402.78        33645.29        79048.07
1955-1959     85-89            17904.16        11805.44        29709.60
1955-1959     90-94             4546.69         2397.17         6943.86
1955-1959     95-99              768.39          318.51         1086.91
1955-1959    100-104              67.75           31.77           99.52
1955-1959    105-109               4.45            2.90            7.35
1955-1959    110+                  0.00            0.00            0.00
1960-1964        0             76700.15        81610.03       158310.18
1960-1964      1-4            288252.02       305306.05       593558.07
1960-1964      5-9            329602.42       348499.05       678101.47
1960-1964     10-14           319502.30       335101.87       654604.18
1960-1964     15-19           302256.58       304324.12       606580.70
1960-1964     20-24           243806.83       241440.95       485247.78
1960-1964     25-29           221005.51       213665.09       434670.59
1960-1964     30-34           222155.53       207215.27       429370.79
1960-1964     35-39           230631.11       215570.98       446202.09
1960-1964     40-44           224671.38       214638.35       439309.73
1960-1964     45-49           217406.66       204079.27       421485.92
1960-1964     50-54           214690.09       200005.82       414695.91
1960-1964     55-59           195859.96       175738.49       371598.45
1960-1964     60-64           180472.33       149102.96       329575.29
1960-1964     65-69           151185.39       117350.94       268536.33
1960-1964     70-74           116131.33        85556.24       201687.57
1960-1964     75-79            80842.28        56826.45       137668.72
1960-1964     80-84            49436.85        33653.57        83090.42
1960-1964     85-89            20711.43        13111.97        33823.41
1960-1964     90-94             5692.21         2957.69         8649.90
1960-1964     95-99              883.51          392.30         1275.81
1960-1964    100-104              73.17           22.53           95.70
1960-1964    105-109               6.70            6.74           13.44
1960-1964    110+                  0.48            0.47            0.95
1965-1969        0             79086.50        84486.72       163573.21
1965-1969      1-4            309467.37       330573.99       640041.36
1965-1969      5-9            359994.60       380836.89       740831.48
1965-1969     10-14           326127.99       343832.77       669960.77
1965-1969     15-19           305820.05       316815.93       622635.98
