PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
ISR,1,1983,1983,1,m,0,1,RR,3,O,732,.,.,.,1
ISR,1,1983,1983,1,m,1,1,RR,3,O,37,.,.,.,1
ISR,1,1983,1983,1,m,2,1,RR,3,O,34,.,.,.,1
ISR,1,1983,1983,1,m,3,1,RR,3,O,28,.,.,.,1
ISR,1,1983,1983,1,m,4,1,RR,3,O,20,.,.,.,1
ISR,1,1983,1983,1,m,5,1,RR,3,O,15,.,.,.,1
ISR,1,1983,1983,1,m,6,1,RR,3,O,15,.,.,.,1
ISR,1,1983,1983,1,m,7,1,RR,3,O,16,.,.,.,1
ISR,1,1983,1983,1,m,8,1,RR,3,O,10,.,.,.,1
ISR,1,1983,1983,1,m,9,1,RR,3,O,6,.,.,.,1
ISR,1,1983,1983,1,m,10,1,RR,3,O,9,.,.,.,1
ISR,1,1983,1983,1,m,11,1,RR,3,O,15,.,.,.,1
ISR,1,1983,1983,1,m,12,1,RR,3,O,9,.,.,.,1
ISR,1,1983,1983,1,m,13,1,RR,3,O,17,.,.,.,1
ISR,1,1983,1983,1,m,14,1,RR,3,O,15,.,.,.,1
ISR,1,1983,1983,1,m,15,1,RR,3,O,21,.,.,.,1
ISR,1,1983,1983,1,m,16,1,RR,3,O,15,.,.,.,1
ISR,1,1983,1983,1,m,17,1,RR,3,O,25,.,.,.,1
ISR,1,1983,1983,1,m,18,1,RR,3,O,41,.,.,.,1
ISR,1,1983,1983,1,m,19,1,RR,3,O,39,.,.,.,1
ISR,1,1983,1983,1,m,20,1,RR,3,O,52,.,.,.,1
ISR,1,1983,1983,1,m,21,1,RR,3,O,35,.,.,.,1
ISR,1,1983,1983,1,m,22,1,RR,3,O,31,.,.,.,1
ISR,1,1983,1983,1,m,23,1,RR,3,O,35,.,.,.,1
ISR,1,1983,1983,1,m,24,1,RR,3,O,30,.,.,.,1
ISR,1,1983,1983,1,m,25,1,RR,3,O,33,.,.,.,1
ISR,1,1983,1983,1,m,26,1,RR,3,O,34,.,.,.,1
ISR,1,1983,1983,1,m,27,1,RR,3,O,29,.,.,.,1
ISR,1,1983,1983,1,m,28,1,RR,3,O,31,.,.,.,1
ISR,1,1983,1983,1,m,29,1,RR,3,O,22,.,.,.,1
ISR,1,1983,1983,1,m,30,1,RR,3,O,29,.,.,.,1
ISR,1,1983,1983,1,m,31,1,RR,3,O,44,.,.,.,1
ISR,1,1983,1983,1,m,32,1,RR,3,O,36,.,.,.,1
ISR,1,1983,1983,1,m,33,1,RR,3,O,31,.,.,.,1
ISR,1,1983,1983,1,m,34,1,RR,3,O,25,.,.,.,1
ISR,1,1983,1983,1,m,35,1,RR,3,O,37,.,.,.,1
ISR,1,1983,1983,1,m,36,1,RR,3,O,35,.,.,.,1
ISR,1,1983,1983,1,m,37,1,RR,3,O,34,.,.,.,1
ISR,1,1983,1983,1,m,38,1,RR,3,O,36,.,.,.,1
ISR,1,1983,1983,1,m,39,1,RR,3,O,30,.,.,.,1
ISR,1,1983,1983,1,m,40,1,RR,3,O,29,.,.,.,1
ISR,1,1983,1983,1,m,41,1,RR,3,O,34,.,.,.,1
ISR,1,1983,1983,1,m,42,1,RR,3,O,28,.,.,.,1
ISR,1,1983,1983,1,m,43,1,RR,3,O,42,.,.,.,1
ISR,1,1983,1983,1,m,44,1,RR,3,O,47,.,.,.,1
ISR,1,1983,1983,1,m,45,1,RR,3,O,60,.,.,.,1
ISR,1,1983,1983,1,m,46,1,RR,3,O,46,.,.,.,1
ISR,1,1983,1983,1,m,47,1,RR,3,O,67,.,.,.,1
ISR,1,1983,1983,1,m,48,1,RR,3,O,74,.,.,.,1
ISR,1,1983,1983,1,m,49,1,RR,3,O,72,.,.,.,1
ISR,1,1983,1983,1,m,50,1,RR,3,O,79,.,.,.,1
ISR,1,1983,1983,1,m,51,1,RR,3,O,90,.,.,.,1
ISR,1,1983,1983,1,m,52,1,RR,3,O,105,.,.,.,1
ISR,1,1983,1983,1,m,53,1,RR,3,O,124,.,.,.,1
ISR,1,1983,1983,1,m,54,1,RR,3,O,116,.,.,.,1
ISR,1,1983,1983,1,m,55,1,RR,3,O,146,.,.,.,1
ISR,1,1983,1983,1,m,56,1,RR,3,O,157,.,.,.,1
ISR,1,1983,1983,1,m,57,1,RR,3,O,156,.,.,.,1
ISR,1,1983,1983,1,m,58,1,RR,3,O,173,.,.,.,1
ISR,1,1983,1983,1,m,59,1,RR,3,O,200,.,.,.,1
ISR,1,1983,1983,1,m,60,1,RR,3,O,216,.,.,.,1
ISR,1,1983,1983,1,m,61,1,RR,3,O,243,.,.,.,1
ISR,1,1983,1983,1,m,62,1,RR,3,O,216,.,.,.,1
ISR,1,1983,1983,1,m,63,1,RR,3,O,266,.,.,.,1
ISR,1,1983,1983,1,m,64,1,RR,3,O,219,.,.,.,1
ISR,1,1983,1983,1,m,65,1,RR,3,O,219,.,.,.,1
ISR,1,1983,1983,1,m,66,1,RR,3,O,215,.,.,.,1
ISR,1,1983,1983,1,m,67,1,RR,3,O,260,.,.,.,1
ISR,1,1983,1983,1,m,68,1,RR,3,O,355,.,.,.,1
ISR,1,1983,1983,1,m,69,1,RR,3,O,419,.,.,.,1
ISR,1,1983,1983,1,m,70,1,RR,3,O,430,.,.,.,1
ISR,1,1983,1983,1,m,71,1,RR,3,O,467,.,.,.,1
ISR,1,1983,1983,1,m,72,1,RR,3,O,503,.,.,.,1
ISR,1,1983,1983,1,m,73,1,RR,3,O,555,.,.,.,1
ISR,1,1983,1983,1,m,74,1,RR,3,O,534,.,.,.,1
ISR,1,1983,1983,1,m,75,1,RR,3,O,501,.,.,.,1
ISR,1,1983,1983,1,m,76,1,RR,3,O,493,.,.,.,1
ISR,1,1983,1983,1,m,77,1,RR,3,O,507,.,.,.,1
ISR,1,1983,1983,1,m,78,1,RR,3,O,483,.,.,.,1
ISR,1,1983,1983,1,m,79,1,RR,3,O,479,.,.,.,1
ISR,1,1983,1983,1,m,80,1,RR,3,O,471,.,.,.,1
ISR,1,1983,1983,1,m,81,1,RR,3,O,352,.,.,.,1
ISR,1,1983,1983,1,m,82,1,RR,3,O,326,.,.,.,1
ISR,1,1983,1983,1,m,83,1,RR,3,O,468,.,.,.,1
