Portugal, Exposure to risk (period 1x10), 	Last modified: 01 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959       23            749724.61       727172.29      1476896.90
1950-1959       24            740030.20       715935.65      1455965.85
1950-1959       25            731684.56       705148.58      1436833.14
1950-1959       26            722839.29       694447.06      1417286.35
1950-1959       27            711199.35       681675.32      1392874.67
1950-1959       28            697301.01       666796.08      1364097.09
1950-1959       29            682967.03       651250.13      1334217.16
1950-1959       30            665628.01       633170.73      1298798.74
1950-1959       31            639515.55       606075.59      1245591.15
1950-1959       32            621034.38       587759.08      1208793.46
1950-1959       33            603535.12       570085.84      1173620.96
1950-1959       34            588302.55       554403.10      1142705.65
1950-1959       35            575788.90       541632.21      1117421.10
1950-1959       36            567027.75       531919.66      1098947.42
1950-1959       37            562008.52       525337.49      1087346.01
1950-1959       38            558235.14       519960.66      1078195.80
1950-1959       39            556120.06       516062.78      1072182.84
1950-1959       40            551904.27       510139.36      1062043.62
1950-1959       41            554137.36       510181.80      1064319.16
1950-1959       42            554513.00       508139.38      1062652.39
1950-1959       43            551702.94       502104.37      1053807.31
1950-1959       44            547907.97       494628.48      1042536.45
1950-1959       45            541131.05       484271.51      1025402.56
1950-1959       46            533301.76       472009.89      1005311.66
1950-1959       47            525511.81       459933.53       985445.35
1950-1959       48            516181.82       447210.82       963392.63
1950-1959       49            506722.58       434776.61       941499.18
1950-1959       50            495397.40       420990.81       916388.21
1950-1959       51            482494.41       405531.02       888025.42
1950-1959       52            469175.69       390209.29       859384.98
1950-1959       53            454373.83       374640.46       829014.29
1950-1959       54            440130.38       360192.30       800322.69
1950-1959       55            427041.73       346964.71       774006.44
1950-1959       56            413209.27       333072.18       746281.44
1950-1959       57            399970.50       319467.89       719438.38
1950-1959       58            387821.67       306558.33       694380.00
1950-1959       59            374816.78       293046.82       667863.60
1950-1959       60            363051.68       281109.22       644160.90
1950-1959       61            352679.31       270380.04       623059.34
1950-1959       62            343728.84       260954.68       604683.52
1950-1959       63            334013.99       250955.75       584969.74
1950-1959       64            324275.47       240623.66       564899.13
1950-1959       65            314454.05       230482.35       544936.40
1950-1959       66            302959.51       219434.92       522394.43
1950-1959       67            290172.07       207320.67       497492.75
1950-1959       68            276416.44       194983.88       471400.32
1950-1959       69            263723.93       184029.80       447753.73
1950-1959       70            249302.36       172078.12       421380.48
1950-1959       71            233129.61       158642.54       391772.16
1950-1959       72            217961.74       146267.31       364229.05
1950-1959       73            202118.64       133980.41       336099.05
1950-1959       74            187542.89       122281.17       309824.06
1950-1959       75            172830.33       110777.53       283607.86
1950-1959       76            157663.74        99227.66       256891.40
1950-1959       77            143502.04        88201.05       231703.09
1950-1959       78            129138.77        77060.82       206199.59
1950-1959       79            115411.19        66776.22       182187.41
1950-1959       80            112484.51        59599.74       172084.25
1950-1959       81             98093.71        50330.68       148424.39
1950-1959       82             85225.34        41984.83       127210.16
1950-1959       83             72718.79        34214.69       106933.48
1950-1959       84             61250.07        27353.12        88603.19
1950-1959       85             50351.98        21311.07        71663.05
1950-1959       86             40797.02        16477.44        57274.46
1950-1959       87             32838.53        12634.23        45472.76
1950-1959       88             26012.24         9416.42        35428.66
1950-1959       89             20423.14         6943.96        27367.09
1950-1959       90             15706.60         5075.59        20782.19
1950-1959       91             11988.56         3679.25        15667.81
1950-1959       92              9364.76         2689.86        12054.62
1950-1959       93              7092.97         1875.42         8968.40
1950-1959       94              5364.46         1291.70         6656.16
1950-1959       95              3957.52          902.51         4860.03
1950-1959       96              2795.26          634.50         3429.75
