France, Total Population, Exposure to risk (period 1x10), 	Last modified: 29 Aug 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1840-1849       34           2390939.62      2484878.83      4875818.46
1840-1849       35           2361025.79      2449387.61      4810413.39
1840-1849       36           2331538.18      2413672.60      4745210.78
1840-1849       37           2301326.24      2378402.96      4679729.20
1840-1849       38           2269322.30      2342470.74      4611793.04
1840-1849       39           2242272.17      2308936.46      4551208.62
1840-1849       40           2224473.08      2282621.22      4507094.30
1840-1849       41           2200768.10      2248226.39      4448994.49
1840-1849       42           2174979.08      2211409.73      4386388.81
1840-1849       43           2146565.82      2171453.32      4318019.13
1840-1849       44           2129647.51      2132286.32      4261933.82
1840-1849       45           2117717.22      2088417.79      4206135.01
1840-1849       46           2087699.61      2028146.59      4115846.20
1840-1849       47           2052195.59      1963114.37      4015309.96
1840-1849       48           2013602.37      1895910.95      3909513.31
1840-1849       49           1972900.81      1825536.08      3798436.89
1840-1849       50           1926917.98      1749725.40      3676643.38
1840-1849       51           1879747.96      1675325.28      3555073.24
1840-1849       52           1835143.47      1603620.65      3438764.11
1840-1849       53           1795310.33      1536879.96      3332190.29
1840-1849       54           1742532.37      1474886.09      3217418.45
1840-1849       55           1680235.76      1418850.22      3099085.99
1840-1849       56           1630608.15      1376471.79      3007079.94
1840-1849       57           1587011.08      1339278.47      2926289.54
1840-1849       58           1545444.57      1303774.81      2849219.38
1840-1849       59           1499642.38      1268992.99      2768635.37
1840-1849       60           1450818.17      1236070.55      2686888.72
1840-1849       61           1395111.08      1197356.87      2592467.95
1840-1849       62           1335406.21      1154821.80      2490228.01
1840-1849       63           1271984.53      1108462.54      2380447.07
1840-1849       64           1212951.12      1058204.67      2271155.79
1840-1849       65           1160528.43      1006557.59      2167086.02
1840-1849       66           1100538.56       950228.02      2050766.58
1840-1849       67           1039576.94       892488.34      1932065.27
1840-1849       68            977914.53       833948.43      1811862.96
1840-1849       69            914788.64       773315.98      1688104.62
1840-1849       70            850194.28       710644.79      1560839.07
1840-1849       71            786748.17       652315.84      1439064.00
1840-1849       72            724735.79       595671.83      1320407.62
1840-1849       73            664756.72       541188.33      1205945.05
1840-1849       74            603515.84       488457.12      1091972.96
1840-1849       75            541026.62       436933.57       977960.19
1840-1849       76            484622.96       391966.23       876589.19
1840-1849       77            431884.98       349744.05       781629.02
1840-1849       78            382224.41       309753.31       691977.72
1840-1849       79            334816.99       271883.44       606700.43
1840-1849       80            278608.72       233218.26       511826.98
1840-1849       81            234637.74       197519.33       432157.07
1840-1849       82            194194.47       163920.04       358114.51
1840-1849       83            157896.28       133213.92       291110.19
1840-1849       84            126330.33       106180.36       232510.69
1840-1849       85             99881.96        83368.18       183250.14
1840-1849       86             78580.80        65009.15       143589.95
1840-1849       87             61647.72        50479.91       112127.64
1840-1849       88             48288.14        39118.48        87406.62
1840-1849       89             37713.05        30261.90        67974.95
1840-1849       90             29166.29        23256.75        52423.04
1840-1849       91             22262.61        17735.22        39997.83
1840-1849       92             16713.15        13396.55        30109.70
1840-1849       93             12325.91        10028.11        22354.02
1840-1849       94              8914.01         7421.48        16335.49
1840-1849       95              6273.30         5358.55        11631.84
1840-1849       96              4283.12         3734.43         8017.56
1840-1849       97              2817.63         2467.31         5284.95
1840-1849       98              1776.42         1512.72         3289.14
1840-1849       99              1060.09          830.36         1890.45
1840-1849      100               616.19          442.46         1058.65
1840-1849      101               383.68          273.67          657.36
1840-1849      102               232.91          164.43          397.34
1840-1849      103               137.85           95.69          233.54
1840-1849      104                78.89           53.00          131.88
1840-1849      105                42.67           27.10           69.77
1840-1849      106                20.85           11.94           32.80
1840-1849      107                 7.93            3.57           11.50
1840-1849      108                 1.34            0.22            1.56
1840-1849      109                 0.00            0.00            0.00
1840-1849      110+                0.00            0.00            0.00
1850-1859        0           4257675.49      4415161.50      8672836.98
1850-1859        1           3841169.75      3910938.41      7752108.16
1850-1859        2           3667097.38      3720873.04      7387970.42
1850-1859        3           3551878.11      3593333.95      7145212.06
1850-1859        4           3490263.87      3527957.85      7018221.71
1850-1859        5           3448663.18      3494892.11      6943555.29
1850-1859        6           3421720.14      3481718.87      6903439.01
1850-1859        7           3392472.43      3465705.74      6858178.17
1850-1859        8           3361972.01      3447577.02      6809549.03
1850-1859        9           3338973.73      3434232.76      6773206.49
1850-1859       10           3333286.64      3433317.06      6766603.69
1850-1859       11           3320799.44      3424786.23      6745585.67
1850-1859       12           3297981.61      3403944.19      6701925.80
1850-1859       13           3268952.49      3376424.37      6645376.86
1850-1859       14           3240294.97      3350553.47      6590848.44
1850-1859       15           3209283.76      3327229.68      6536513.44
1850-1859       16           3181117.11      3300136.92      6481254.03
1850-1859       17           3141843.84      3266554.92      6408398.76
1850-1859       18           3098582.62      3231024.75      6329607.37
