Hong Kong, Life expectancy at birth (period, 1x1)	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1986        79.73    74.10    76.95
  1987        79.87    74.14    77.01
  1988        79.84    74.23    77.03
  1989        80.08    74.10    77.05
  1990        80.22    74.47    77.31
  1991        80.77    75.23    77.99
  1992        80.73    74.91    77.75
  1993        81.09    75.44    78.23
  1994        82.02    76.00    78.98
  1995        82.19    76.17    79.14
  1996        82.43    76.53    79.43
  1997        82.96    77.08    79.99
  1998        83.12    77.21    80.12
  1999        83.34    77.59    80.43
  2000        83.62    77.79    80.67
  2001        84.37    78.21    81.25
  2002        84.41    78.39    81.37
  2003        84.09    78.12    81.05
  2004        84.46    78.57    81.47
  2005        84.38    78.61    81.45
  2006        85.19    79.35    82.24
  2007        85.35    79.18    82.22
  2008        84.97    79.21    82.05
  2009        85.52    79.74    82.62
  2010        85.79    79.90    82.82
  2011        86.28    80.26    83.25
  2012        86.25    80.38    83.30
  2013        86.80    80.92    83.86
  2014        86.79    81.11    83.96
  2015        86.99    81.33    84.17
  2016        87.31    81.33    84.32
  2017        87.67    81.74    84.73
  2018        88.05    82.03    85.05
  2019        88.14    82.08    85.14
