Australia, Exposure to risk (period 5x5), 	Last modified: 14 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1945-1949      1-4           1463539.14      1527072.44      2990611.58
1945-1949      5-9           1493490.99      1548082.60      3041573.58
1945-1949     10-14          1332358.87      1380209.58      2712568.44
1945-1949     15-19          1440162.10      1479113.29      2919275.38
1945-1949     20-24          1554810.06      1570303.30      3125113.36
1945-1949     25-29          1520171.95      1519102.73      3039274.67
1945-1949     30-34          1504659.93      1490088.21      2994748.14
1945-1949     35-39          1371134.21      1435530.57      2806664.78
1945-1949     40-44          1204410.28      1304039.72      2508450.01
1945-1949     45-49          1135234.64      1169728.76      2304963.40
1945-1949     50-54          1090758.08      1052296.40      2143054.49
1945-1949     55-59          1006893.54       989894.87      1996788.41
1945-1949     60-64           827214.02       801882.72      1629096.74
1945-1949     65-69           635419.58       580768.63      1216188.21
1945-1949     70-74           448100.29       388985.39       837085.68
1945-1949     75-79           305318.49       252470.01       557788.50
1945-1949     80-84           176162.87       137766.86       313929.72
1945-1949     85-89            68770.31        48702.42       117472.73
1945-1949     90-94            15878.49         9779.19        25657.68
1945-1949     95-99             2212.90         1234.91         3447.81
1945-1949    100-104             120.92           66.91          187.83
1945-1949    105-109               0.05            0.00            0.05
1945-1949    110+                  0.00            0.00            0.00
1950-1954        0            472207.96       493520.04       965727.99
1950-1954      1-4           1818412.70      1902569.35      3720982.05
1950-1954      5-9           1972608.00      2060500.61      4033108.61
1950-1954     10-14          1557808.93      1618084.94      3175893.86
1950-1954     15-19          1385195.18      1447451.77      2832646.95
1950-1954     20-24          1507998.55      1618555.82      3126554.37
1950-1954     25-29          1673870.67      1799079.97      3472950.63
1950-1954     30-34          1622255.22      1692302.24      3314557.46
1950-1954     35-39          1573327.75      1622901.44      3196229.19
1950-1954     40-44          1416555.75      1532640.12      2949195.86
1950-1954     45-49          1216567.10      1337927.81      2554494.91
1950-1954     50-54          1124178.42      1146472.20      2270650.62
1950-1954     55-59          1056777.82       991060.23      2047838.05
1950-1954     60-64           952996.10       893500.82      1846496.92
1950-1954     65-69           750755.20       674924.79      1425679.99
1950-1954     70-74           540975.03       450221.26       991196.29
1950-1954     75-79           340603.75       262989.80       603593.54
1950-1954     80-84           204373.08       145220.50       349593.58
1950-1954     85-89            82770.03        55050.63       137820.66
1950-1954     90-94            21876.91        12935.91        34812.82
1950-1954     95-99             2912.68         1584.35         4497.02
1950-1954    100-104             150.83           86.58          237.41
1950-1954    105-109               0.15            0.00            0.15
1950-1954    110+                  0.00            0.00            0.00
1955-1959        0            517807.09       544251.47      1062058.56
1955-1959      1-4           1998495.13      2090771.50      4089266.63
1955-1959      5-9           2397444.10      2508048.63      4905492.73
1955-1959     10-14          2061490.00      2158604.01      4220094.01
1955-1959     15-19          1625314.18      1704008.32      3329322.51
1955-1959     20-24          1481091.90      1597212.00      3078303.90
1955-1959     25-29          1624996.01      1797196.86      3422192.87
1955-1959     30-34          1779207.94      1921598.60      3700806.54
1955-1959     35-39          1694487.30      1766214.63      3460701.93
