Australia, Exposure to risk (cohort 5x5), 	Last modified: 14 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1875-1879     55-59           687584.83       703875.32      1391460.15
1875-1879     60-64           643134.93       630655.03      1273789.96
1875-1879     65-69           577442.04       530263.66      1107705.70
1875-1879     70-74           487958.68       409963.20       897921.88
1875-1879     75-79           373799.81       276332.25       650132.07
1875-1879     80-84           257397.06       162260.99       419658.05
1875-1879     85-89           131065.27        67028.92       198094.19
1875-1879     90-94            46890.04        18420.84        65310.88
1875-1879     95-99            10531.93         3222.20        13754.12
1875-1879    100-104            1447.42          323.25         1770.67
1875-1879    105-109             130.94           25.00          155.94
1875-1879    110+                  0.45            0.72            1.17
1880-1884        0                    .               .               .
1880-1884      1-4                    .               .               .
1880-1884      5-9                    .               .               .
1880-1884     10-14                   .               .               .
1880-1884     15-19                   .               .               .
1880-1884     20-24                   .               .               .
1880-1884     25-29                   .               .               .
1880-1884     30-34                   .               .               .
1880-1884     35-39                   .               .               .
1880-1884     40-44           873306.79       923922.06      1797228.85
1880-1884     45-49           886970.09       942420.29      1829390.38
1880-1884     50-54           849316.19       893725.37      1743041.56
1880-1884     55-59           812194.95       832749.39      1644944.34
1880-1884     60-64           761263.71       745533.51      1506797.22
1880-1884     65-69           687076.86       625671.53      1312748.39
1880-1884     70-74           583787.72       483415.85      1067203.56
1880-1884     75-79           450859.10       326177.88       777036.98
1880-1884     80-84           318903.45       190892.19       509795.64
1880-1884     85-89           163847.14        78700.09       242547.24
1880-1884     90-94            61775.17        22223.40        83998.57
1880-1884     95-99            15646.36         4114.82        19761.18
1880-1884    100-104            2355.12          426.99         2782.11
1880-1884    105-109             184.04           30.73          214.78
1880-1884    110+                  2.82            0.00            2.82
1885-1889        0                    .               .               .
1885-1889      1-4                    .               .               .
1885-1889      5-9                    .               .               .
1885-1889     10-14                   .               .               .
1885-1889     15-19                   .               .               .
1885-1889     20-24                   .               .               .
1885-1889     25-29                   .               .               .
1885-1889     30-34                   .               .               .
1885-1889     35-39          1033754.00      1084289.26      2118043.26
1885-1889     40-44          1067526.74      1117015.30      2184542.04
1885-1889     45-49          1038319.36      1076277.37      2114596.72
1885-1889     50-54          1003241.60      1027712.78      2030954.38
1885-1889     55-59           957926.53       959360.67      1917287.20
1885-1889     60-64           898282.69       862013.28      1760295.96
1885-1889     65-69           818399.58       727123.46      1545523.04
1885-1889     70-74           706618.87       566490.62      1273109.49
1885-1889     75-79           554022.04       383660.71       937682.76
1885-1889     80-84           386197.04       220121.84       606318.88
1885-1889     85-89           204764.69        92344.66       297109.34
1885-1889     90-94            82831.88        28209.07       111040.95
1885-1889     95-99            22406.75         5605.94        28012.69
1885-1889    100-104            3448.27          663.93         4112.20
1885-1889    105-109             222.24           39.44          261.68
1885-1889    110+                  1.86            0.00            1.86
1890-1894        0                    .               .               .
1890-1894      1-4                    .               .               .
1890-1894      5-9                    .               .               .
1890-1894     10-14                   .               .               .
1890-1894     15-19                   .               .               .
1890-1894     20-24                   .               .               .
1890-1894     25-29                   .               .               .
1890-1894     30-34          1139299.51      1125542.09      2264841.60
1890-1894     35-39          1185805.41      1185009.36      2370814.77
1890-1894     40-44          1158260.17      1150718.26      2308978.43
1890-1894     45-49          1129780.45      1114701.26      2244481.71
1890-1894     50-54          1090790.21      1063799.15      2154589.36
1890-1894     55-59          1044566.63       993090.63      2037657.26
1890-1894     60-64           992499.13       894226.54      1886725.67
1890-1894     65-69           912803.46       753963.74      1666767.20
1890-1894     70-74           793754.35       582513.61      1376267.96
1890-1894     75-79           615283.96       390489.74      1005773.70
1890-1894     80-84           442814.63       225075.12       667889.75
1890-1894     85-89           251953.27       100342.23       352295.50
1890-1894     90-94           109502.69        32972.68       142475.37
1890-1894     95-99            30223.56         6799.57        37023.12
1890-1894    100-104            5017.56          769.63         5787.18
1890-1894    105-109             330.52           30.96          361.48
1890-1894    110+                  2.32            0.00            2.32
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29          1125725.05      1093959.10      2219684.14
1895-1899     30-34          1191360.40      1183434.63      2374795.03
1895-1899     35-39          1170521.06      1162326.38      2332847.43
1895-1899     40-44          1150305.66      1140355.65      2290661.31
1895-1899     45-49          1125293.46      1110418.93      2235712.39
1895-1899     50-54          1098466.03      1072886.00      2171352.03
1895-1899     55-59          1069697.02      1013167.25      2082864.27
1895-1899     60-64          1023486.16       914171.60      1937657.75
1895-1899     65-69           950228.40       775993.53      1726221.93
1895-1899     70-74           821047.82       593799.72      1414847.54
1895-1899     75-79           663441.81       405094.73      1068536.54
1895-1899     80-84           478032.75       234545.69       712578.44
1895-1899     85-89           285036.40       109191.43       394227.83
1895-1899     90-94           126341.72        35893.52       162235.24
1895-1899     95-99            36769.31         7650.24        44419.55
1895-1899    100-104            5703.54          942.52         6646.06
1895-1899    105-109             372.81           39.60          412.41
1895-1899    110+                  4.43            0.00            4.43
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24          1125441.98      1166759.20      2292201.18
1900-1904     25-29          1209714.57      1297061.61      2506776.18
1900-1904     30-34          1202073.93      1284377.65      2486451.58
1900-1904     35-39          1187501.75      1269577.57      2457079.32
1900-1904     40-44          1167994.88      1245976.13      2413971.00
1900-1904     45-49          1155548.61      1239982.84      2395531.44
1900-1904     50-54          1143781.38      1214888.19      2358669.57
1900-1904     55-59          1117322.41      1144300.16      2261622.57
1900-1904     60-64          1073282.60      1031257.15      2104539.75
1900-1904     65-69          1008508.54       888291.48      1896800.01
1900-1904     70-74           921978.38       719217.38      1641195.75
1900-1904     75-79           757374.88       505399.25      1262774.13
1900-1904     80-84           566460.03       306638.88       873098.91
1900-1904     85-89           347818.73       148937.42       496756.14
1900-1904     90-94           161273.75        52827.90       214101.65
1900-1904     95-99            46534.80        11363.23        57898.03
1900-1904    100-104            7380.75         1379.02         8759.77
1900-1904    105-109             478.57           60.75          539.32
1900-1904    110+                  4.33            0.00            4.33
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19          1230674.98      1289337.05      2520012.02
1905-1909     20-24          1313253.28      1417514.90      2730768.17
1905-1909     25-29          1311617.27      1413532.14      2725149.41
1905-1909     30-34          1300792.97      1402792.94      2703585.91
1905-1909     35-39          1287679.37      1380324.35      2668003.72
1905-1909     40-44          1293143.29      1410295.21      2703438.50
1905-1909     45-49          1308190.10      1442297.89      2750487.99
1905-1909     50-54          1294593.58      1403696.74      2698290.32
1905-1909     55-59          1268072.19      1323678.33      2591750.52
1905-1909     60-64          1231681.46      1190488.23      2422169.68
1905-1909     65-69          1180437.99      1044572.55      2225010.54
1905-1909     70-74          1060361.48       838272.55      1898634.03
1905-1909     75-79           896404.91       615720.42      1512125.33
1905-1909     80-84           679222.57       386201.39      1065423.96
1905-1909     85-89           434980.82       197953.07       632933.89
1905-1909     90-94           207978.67        72910.03       280888.70
1905-1909     95-99            62864.59        16294.75        79159.34
1905-1909    100-104            9718.77         1866.01        11584.78
1905-1909    105-109             612.25           81.92          694.17
1905-1909    110+                  5.48            0.00            5.48
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14          1402223.07      1431123.46      2833346.54
1910-1914     15-19          1482976.25      1525780.16      3008756.41
1910-1914     20-24          1486262.52      1526230.22      3012492.74
1910-1914     25-29          1480299.13      1516414.32      2996713.45
1910-1914     30-34          1475158.85      1491107.34      2966266.19
1910-1914     35-39          1502080.73      1555674.18      3057754.91
1910-1914     40-44          1551820.45      1643108.65      3194929.10
1910-1914     45-49          1559766.92      1643925.32      3203692.24
1910-1914     50-54          1537345.34      1591948.02      3129293.36
1910-1914     55-59          1492772.28      1498336.60      2991108.88
1910-1914     60-64          1482967.37      1378959.44      2861926.82
1910-1914     65-69          1395887.58      1213139.04      2609026.63
1910-1914     70-74          1280716.63      1009017.93      2289734.56
1910-1914     75-79          1088941.40       760774.32      1849715.72
1910-1914     80-84           851690.76       494355.03      1346045.79
1910-1914     85-89           559936.84       263344.97       823281.82
1910-1914     90-94           277160.31       101621.49       378781.80
1910-1914     95-99            85748.51        23854.04       109602.56
1910-1914    100-104           13539.13         2762.78        16301.91
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
