Bulgaria, Exposure to risk (period 1x10), 	Last modified: 27 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959       25            671130.21       684198.76      1355328.96
1950-1959       26            670554.01       682068.49      1352622.50
1950-1959       27            669492.32       677950.57      1347442.89
1950-1959       28            669248.85       675205.98      1344454.82
1950-1959       29            666039.78       670304.30      1336344.08
1950-1959       30            658884.05       662418.75      1321302.80
1950-1959       31            635432.86       638385.11      1273817.98
1950-1959       32            598003.46       599953.01      1197956.47
1950-1959       33            559466.07       559573.18      1119039.24
1950-1959       34            535355.07       534150.64      1069505.72
1950-1959       35            521287.34       521116.99      1042404.33
1950-1959       36            502137.90       503948.86      1006086.76
1950-1959       37            483542.45       486784.45       970326.90
1950-1959       38            471370.86       476391.50       947762.36
1950-1959       39            460626.29       467612.06       928238.35
1950-1959       40            453804.98       462462.32       916267.29
1950-1959       41            460316.28       469913.36       930229.64
1950-1959       42            478632.37       490158.67       968791.04
1950-1959       43            498475.33       511567.20      1010042.53
1950-1959       44            501643.86       515954.41      1017598.27
1950-1959       45            491026.51       505228.59       996255.10
1950-1959       46            485458.97       499648.20       985107.17
1950-1959       47            479078.14       494248.23       973326.37
1950-1959       48            465103.63       479513.13       944616.75
1950-1959       49            455822.54       467345.35       923167.89
1950-1959       50            442661.72       451405.79       894067.51
1950-1959       51            427456.64       434000.68       861457.32
1950-1959       52            411583.20       416277.31       827860.51
1950-1959       53            395503.26       397508.60       793011.86
1950-1959       54            379913.84       377877.43       757791.26
1950-1959       55            363244.21       356920.45       720164.67
1950-1959       56            345910.90       335532.42       681443.32
1950-1959       57            329228.87       314556.24       643785.11
1950-1959       58            315802.63       295368.73       611171.35
1950-1959       59            305005.63       275987.99       580993.62
1950-1959       60            293228.57       255998.60       549227.16
1950-1959       61            285312.07       243480.46       528792.53
1950-1959       62            275126.38       231542.66       506669.04
1950-1959       63            265931.09       219808.59       485739.68
1950-1959       64            259558.81       212493.22       472052.03
1950-1959       65            252640.85       206284.75       458925.60
1950-1959       66            244890.32       198705.87       443596.19
1950-1959       67            237055.83       192527.54       429583.38
1950-1959       68            227846.58       185668.15       413514.73
1950-1959       69            218224.80       178666.62       396891.42
1950-1959       70            204736.72       169374.73       374111.46
1950-1959       71            188912.70       156728.95       345641.65
1950-1959       72            173094.36       143751.72       316846.08
1950-1959       73            158611.79       131768.48       290380.27
1950-1959       74            142130.25       117593.82       259724.07
1950-1959       75            124807.90       103087.90       227895.80
1950-1959       76            108890.64        89920.06       198810.69
1950-1959       77             93919.88        76994.65       170914.53
1950-1959       78             80053.43        64741.02       144794.45
1950-1959       79             67391.48        54620.63       122012.11
1950-1959       80             59448.99        50466.98       109915.97
1950-1959       81             50700.11        43685.60        94385.71
1950-1959       82             42877.82        37333.38        80211.20
1950-1959       83             35909.11        31536.34        67445.45
1950-1959       84             29933.40        26809.01        56742.41
1950-1959       85             25099.94        22845.94        47945.88
1950-1959       86             21037.66        19250.08        40287.74
1950-1959       87             17564.67        15858.51        33423.18
1950-1959       88             14607.93        13115.56        27723.49
1950-1959       89             12092.51        10771.35        22863.86
1950-1959       90              9627.54         8502.02        18129.56
1950-1959       91              7615.70         6686.52        14302.22
1950-1959       92              6000.30         5213.11        11213.41
