Chile, Exposure to risk (period 5x5), 	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1994        0            403836.39       422188.09       826024.49
1992-1994      1-4           1666133.56      1739358.13      3405491.68
1992-1994      5-9           1943565.96      2015079.35      3958645.31
1992-1994     10-14          1828567.45      1885279.44      3713846.89
1992-1994     15-19          1778000.14      1824743.12      3602743.26
1992-1994     20-24          1826831.19      1812274.86      3639106.05
1992-1994     25-29          1872066.61      1808782.41      3680849.02
1992-1994     30-34          1789370.36      1719466.51      3508836.87
1992-1994     35-39          1500248.72      1425829.62      2926078.34
1992-1994     40-44          1236325.29      1174868.14      2411193.43
1992-1994     45-49          1029013.81       969362.65      1998376.46
1992-1994     50-54           884948.49       824977.13      1709925.62
1992-1994     55-59           721215.74       649579.67      1370795.41
1992-1994     60-64           683735.96       589747.12      1273483.08
1992-1994     65-69           545157.31       461269.76      1006427.07
1992-1994     70-74           390881.45       305365.40       696246.85
1992-1994     75-79           299036.49       209454.40       508490.89
1992-1994     80-84           204023.38       121576.40       325599.78
1992-1994     85-89            98467.87        48827.31       147295.18
1992-1994     90-94            33302.52        13731.46        47033.98
1992-1994     95-99             6772.56         2090.25         8862.80
1992-1994    100-104             866.78          239.49         1106.27
1992-1994    105-109              89.58           33.28          122.85
1992-1994    110+                 11.28            3.97           15.25
1995-1999        0            633348.05       662080.68      1295428.73
1995-1999      1-4           2615692.15      2727201.23      5342893.37
1995-1999      5-9           3466177.51      3608005.81      7074183.33
1995-1999     10-14          3167879.69      3281648.66      6449528.35
1995-1999     15-19          2991951.83      3070747.13      6062698.96
1995-1999     20-24          2997012.56      3018962.68      6015975.25
1995-1999     25-29          3044082.97      2992972.70      6037055.67
1995-1999     30-34          3121846.64      3008091.35      6129937.99
1995-1999     35-39          2899362.47      2781921.56      5681284.03
1995-1999     40-44          2375471.09      2257145.45      4632616.54
1995-1999     45-49          1969352.85      1871459.67      3840812.52
1995-1999     50-54          1639110.23      1541902.23      3181012.46
1995-1999     55-59          1385263.66      1266145.54      2651409.20
1995-1999     60-64          1148724.39      1010575.58      2159299.97
1995-1999     65-69          1047287.04       879590.13      1926877.17
1995-1999     70-74           765742.08       607779.21      1373521.29
1995-1999     75-79           542631.46       384930.22       927561.68
1995-1999     80-84           388035.74       226389.60       614425.34
1995-1999     85-89           203093.46       100246.55       303340.01
1995-1999     90-94            71776.16        28999.55       100775.71
1995-1999     95-99            16120.02         5280.67        21400.68
1995-1999    100-104            1992.32          502.87         2495.19
1995-1999    105-109             204.58           67.07          271.65
1995-1999    110+                 26.75           11.43           38.18
2000-2004        0            572165.45       596580.88      1168746.34
2000-2004      1-4           2322962.70      2413145.64      4736108.34
2000-2004      5-9           3227693.12      3350847.03      6578540.15
2000-2004     10-14          3475587.63      3606026.67      7081614.30
2000-2004     15-19          3172907.06      3284976.78      6457883.85
2000-2004     20-24          2985002.59      3033943.45      6018946.04
2000-2004     25-29          2996867.30      2973488.39      5970355.68
2000-2004     30-34          3036003.07      2972446.52      6008449.60
2000-2004     35-39          3127885.55      3006851.56      6134737.11
2000-2004     40-44          2897409.09      2771981.92      5669391.01
2000-2004     45-49          2341479.98      2224032.15      4565512.13
2000-2004     50-54          1944024.01      1844596.77      3788620.78
2000-2004     55-59          1591620.00      1483051.89      3074671.90
2000-2004     60-64          1340062.47      1196962.58      2537025.05
2000-2004     65-69          1086147.89       928249.31      2014397.20
2000-2004     70-74           944044.48       752861.62      1696906.10
2000-2004     75-79           650858.27       475929.39      1126787.66
2000-2004     80-84           431623.61       258864.01       690487.62
2000-2004     85-89           251512.53       120439.70       371952.23
2000-2004     90-94            97199.20        37777.91       134977.12
2000-2004     95-99            21471.01         6618.46        28089.46
2000-2004    100-104            2726.60          636.06         3362.66
2000-2004    105-109             205.81           37.26          243.07
2000-2004    110+                 28.36           17.45           45.82
2005-2009        0            578552.27       604214.12      1182766.39
2005-2009      1-4           2250993.19      2349787.77      4600780.96
2005-2009      5-9           2918054.90      3034180.79      5952235.69
2005-2009     10-14          3283491.20      3399849.70      6683340.90
2005-2009     15-19          3522756.78      3633434.10      7156190.88
2005-2009     20-24          3207873.21      3282673.15      6490546.36
2005-2009     25-29          3012382.00      3017592.94      6029974.94
2005-2009     30-34          3013784.44      2956214.22      5969998.67
2005-2009     35-39          3032107.99      2934062.54      5966170.53
2005-2009     40-44          3113730.12      2963381.92      6077112.04
2005-2009     45-49          2862916.78      2705155.43      5568072.21
2005-2009     50-54          2324583.14      2177568.20      4502151.34
2005-2009     55-59          1904930.80      1770320.97      3675251.77
2005-2009     60-64          1556353.26      1407278.42      2963631.68
2005-2009     65-69          1276005.66      1095038.85      2371044.51
2005-2009     70-74           997975.85       801281.65      1799257.49
